name,count
long time,3
friendly,3
worse,2
small,3
tea,2
bacon,3
situated,2
find,2
shouldn,2
great,2
didn,3
visit,2
give,4
thin laddies,8
edinburgh,2
stop,2
counter,2
order,2
coffee,5
good,5
food,6
lunch,3
expect,2
bad,2
loads,2
times,4
place,7
tempting,2
cheese,2
delicious,2
wasn,2
miss,2
service,6
breakfast,2
sandwiches,2
eggs,2
paid,2
don,2
day breakfast,3
atmosphere,2
selection,2
staff,5
toast,2
menu,3
weekends,2
won,2
morning,4
tollcross,4
cafes,2
cakes,3
sausages,3
ve,3
wouldn,2
week,2
pick,2
day,2
bit,4
back,7
pastries,2
offer,2
inside,3
cafe,3
special,2
nice,2
ll,4
felt,2
time,3
