name,count
chain,2
worth,2
bar area,2
cheap,2
decide,2
drinks,4
4,2
great,4
half price,2
recommend,2
warm,2
located,2
order,2
good,5
food,9
wanted,2
times,3
place,6
feel,2
lettuce,6
service,4
2,3
friend,2
part,2
ideal,2
theatre,2
half price cocktails,2
price,2
eaten,2
don,4
looked,2
atmosphere,2
tuesdays,2
find,2
staff,2
menu,4
beat,2
wetherspoons,2
bar,6
bad,3
cocktails,4
decided,3
horrible,2
simple,2
50%,3
expected,2
prices,2
bill,2
ve,3
disappointing,2
make,5
thought,3
money,2
bit,2
night,2
back,3
exciting,3
slug,6
omni centre,4
mondays,2
happy,2
made,3
places,2
ordered,3
cinema,3
doesn,3
tasty,4
nice,2
friends,2
time,2
