name,count
worth,2
drinking,2
royal mile,17
people watch,2
whisky selection,2
salad,2
haggis,8
enjoy,4
modern twist,2
drinks,5
peroni,2
enjoyed,3
staff,8
cozy,3
slow,2
cranachan,2
wait,2
boy,2
great,6
fantastic,2
love,2
ve,3
visit,3
sort,2
door,2
warm,2
beers,3
glad,3
whisky,8
town,3
friendly,9
tap,3
give,2
sense,2
lamb,2
end,2
located,4
amazing,2
pint,2
edinburgh,9
crowded,2
sit,3
order,3
perfect,4
ll,2
main,2
whiskey selection,2
evening,2
views,2
food,16
safe,2
day,2
meat,2
didn,3
reasonable,3
side,2
hard,2
idea,2
pub,9
reason,2
wanted,3
couldn,2
waiter,2
times,4
place,7
isn,3
albanach stands,2
cheese,3
feel,3
delicious,3
wasn,4
service,7
tourists,9
friend,2
eyes,2
touristy,2
part,2
loved,3
seated,2
modern,2
dinner,2
apparently,2
centre,2
price,4
eaten,2
whisky menu,2
don,8
haggis fritters,2
traditional,2
lots,3
fact,2
atmosphere,2
selection,4
overpriced,2
cheap,5
bring,2
corner,3
find,4
menu,4
eat,3
pretty,2
knowledgeable,2
local,2
means,2
bar,5
bad,3
whiskies,6
bars,4
special,2
traditional scottish food,2
flavorful,2
restaurant,3
quiet,2
asked,2
great selection,2
point,3
walk,2
scottish,2
table,4
decent,2
due,2
direction,2
priced,2
pricey,2
prices,3
cullen skink,3
dumplings,2
good,8
decor,2
good spot,2
make,2
waitresses,2
huge selection,2
drink,5
hand,3
pubs,2
arrived,2
butter,2
thought,2
bottle,3
scotland,6
whisky cream sauce,2
location,3
extensive,2
gave,2
outdoor seating,2
bit,5
helpful,2
traditional pubs,2
server,2
edinburgh castle,2
popular,2
served,2
seating,4
crowd,3
people,3
back,9
reasons,2
stopped,3
step,3
stew,2
meal,4
range,2
stand,2
fan,2
area,6
aren,2
lot,4
albanach,14
hear,2
inside,3
whiskey,2
ordered,3
doesn,2
cockburn street,4
ü,2
tasty,5
whiskeys,3
whisky drinker,2
looked,2
highly recommended,2
nice,6
stay,3
dram,3
friends,2
time,8
alright,2
fresh,2
