name,count
raining,2
excellent,2
catch,2
served,2
yummy,3
environment,2
royal mile,2
discovered,2
heaven,2
wednesday,2
small,5
full meal,2
chef,3
spaghetti,3
cosy,3
drinks,3
shared,2
told,3
mussels,3
wait,3
great,5
connoisseur,2
salami,2
cheese plate,2
found,2
visit,4
recommend,4
sharing,3
evening,2
started,3
glass,8
salad,2
friendly,6
soup,2
give,2
awesome,2
times,2
end,2
sit,2
amazing,2
edinburgh,17
date,3
perfect,2
style,2
ll,4
appetizers,2
choose,2
main,2
happened,2
good,9
food,17
lunch,2
day,5
meat,2
risotto,2
didn,7
luck,2
weren,3
friendly staff,2
special,2
great wine list,2
wines,3
days,2
place,13
bit slow,2
waitress,2
cheese,5
pub food,2
aubergine,2
delicious,8
wasn,3
vino,2
service,10
friend,3
loved,2
kind,4
seated,2
tasted,2
turned,3
prawns,2
lunchtime,2
sat,2
interior,2
don,8
order,2
wine,15
atmosphere,3
mains,3
staff,3
busy,2
menu,5
plate,3
wine bar,5
bar,5
nibbles,2
bad,2
husband,2
restaurants,2
enjoyed,2
3,2
restaurant,7
chorizo,3
asked,2
anti,2
table,6
olives,4
proceeded,2
addition,2
adorable wine bar,2
lovely,3
places,3
ve,5
starving,2
shame,2
make,2
wine bars,2
garlic,2
antipasti,6
thought,3
bottle,6
50 pounds,2
scotland,2
thinking,2
add,4
easy,3
couple,2
bit,4
disappointed,5
cheeses,3
simply,2
people,2
back,4
stuffy,2
stopped,2
night,2
pasta,6
cozy,3
dinner,4
friends,4
lot,3
expected,3
line,2
eat,5
anchovies,2
uk,2
ordered,4
cockburn street,3
tasty,3
home,2
trip,2
stumbled,2
nice,3
favourite,2
stay,2
booked,2
ecco vino,15
time,8
fresh,2
