name,count
dish,2
friendly,2
small portions,2
opted,3
great,3
vegetarian,2
friday night,3
brought,2
visit,2
excellent,2
£5,2
£1,2
work,2
gluten free,2
place,4
edinburgh,5
claire,2
order,3
interesting,2
main,3
good,7
food,4
day,2
didn,2
glasses,2
small,2
ate,2
thing,2
delicious,4
quality,2
service,5
opportunity,2
friend,2
loved,2
bindi,9
dishes,6
clean,2
selection,4
planning,2
find,2
based,2
menu,5
bombay mix,2
lots,2
superb,2
attention,2
restaurant,5
addition,3
lovely,3
ve,2
things,2
plates,2
week,2
entering,2
bottle,2
detail,2
bit,2
50,3
night,2
served,2
back,3
home,3
thali,5
recommended,2
bombay,2
long,2
forward,2
eat,2
spice,2
places,2
ordered,6
tasty,3
chat,2
felt,4
fresh,2
ann purna,2
time,2
