name,count
friendly,4
small,2
dip,2
bill,2
staff,5
chose,2
great,2
makes,2
options,2
visit,2
call,3
popped,2
salad,2
work,2
eclectic,2
sit,2
edinburgh,5
sandwich,3
morningside,4
counter,2
pay,3
order,5
wouldn,3
coffee,5
good,8
food,7
lunch,3
walls,2
didn,2
times,2
thing,2
place,7
cheese,2
feel,2
delicious,2
wasn,2
city,2
service,4
ordering,2
top,2
mind,3
sandwiches,5
don,5
soups,2
cute,2
chicken,3
toast,2
busy,4
menu,3
meant,2
baked potatoes,2
morning,3
seat,2
result,2
glasgow,2
breakfasts,2
cakes,3
ordered,3
expected,2
offered,3
granted,2
tasty,3
ve,4
middle,2
make,4
bowl,2
finish,2
yummy mummies,2
chorizo,2
burrito,3
rocket,10
bit,3
semi,2
served,2
back,3
slice,2
porridge,2
jarlsberg,2
scones,2
area,2
offer,3
made,2
places,2
proved,2
café,2
nice,4
napier,2
priced,2
time,5
fresh,3
