name,count
long time,2
steak tartar,2
dessert,3
french,3
visit,3
france,3
music,2
starter,2
salad,2
amazing,2
edinburgh,5
french food,3
oysters,2
wine,3
écor,2
whilst,2
main,3
good,3
food,6
didn,3
meal,4
couldn,2
delicious,2
quality,3
service,2
top,3
friend,3
option,2
interior,2
fact,2
atmosphere,2
find,3
menu,4
french cuisine,4
le mouton noir,5
chips,3
steak,3
bruntsfield,2
kitchen,2
restaurant,2
french waiters,2
table,3
expected,3
great,2
prices,3
ve,3
hand,2
touch,2
world,2
fellow yelpers,2
served,2
people,2
back,2
business,2
found,3
gizzards,2
dinner,2
eat,2
made,2
duck gizzards,2
lemon,2
£12,2
weekend,2
time,3
fresh,2
