name,count
dish,2
smile,2
worth,2
presented,2
tea,2
voucher,2
full,2
10%,2
great,4
visit,3
excellent,2
£5,2
friendly,2
soup,2
sit,4
hot,2
edinburgh,2
spot,2
counter,2
wine,2
ll,3
amazing,2
main,2
good place,2
coffee,3
good,5
food,5
lunch,4
days,2
times,2
friendly staff,2
wasn,3
service,4
bite,2
haven,2
breakfast,2
sandwiches,2
wanting,2
price,3
eaten,2
don,2
chicken,2
busy,2
menu,5
hit,2
closed,2
turkish influence,2
generous portion,2
pop,2
thrown open,2
olives,2
decor,3
things,2
arrived,2
asked,2
money,2
proximity,2
olly bongo,6
day,2
coronation chicken,2
bit,2
served,2
didn,2
baked potato,2
people,2
back,3
paninis,3
weather,2
area,3
eat,2
tasty,5
cafe,3
nice,5
felt,2
cooked,3
