name,count
managed,2
6pm,2
worth,4
dessert,4
cook,3
cool,2
steaks,4
drinks,3
opted,3
soup,4
told,4
full,3
wait,2
great,3
milkshake,3
opinion,2
settled,2
cooked,2
love,2
sort,2
99,2
starter,3
friendly,4
arrive,2
mirrors,2
heard,2
impressed,2
turn,2
merlot,2
amazing,3
edinburgh,3
spot,3
order,6
wine,7
including,2
cuts,2
ll,2
choose,2
main,2
wouldn,3
good,8
return,2
food,6
meat,3
didn,6
courses,2
meal,4
forgot,2
pretty good,2
red,2
free,2
couldn,3
waiter,2
times,2
place,4
waitress,4
feel,2
delicious,5
wasn,4
sounds,2
service,7
needed,2
ceiling,2
loved,2
visited,2
feeling,2
pre,2
outstanding,2
mine,2
hot stone,2
interior,2
price,3
realised,2
fact,2
enjoyed,3
staff,4
menu,3
pretty,3
2,3
chips,5
bar,4
2 starters,2
steak,14
shake,2
decided,4
desperate,2
tender,2
arm,2
wow,3
3,2
arrival,2
restaurant,6
fault,2
asked,2
sweet,3
table,3
expensive,3
due,2
seasoned,2
lovely,3
mind,2
offered,2
attentive,2
bill,2
mistake,2
ve,4
evening,2
decor,7
pay,2
make,2
week,2
drink,4
bottle,3
money,2
tables,3
day,4
add,2
big,2
dark,2
bit,2
disappointed,2
50,3
server,4
night,3
deal,4
back,9
trendy,2
visited steak,2
full menu,2
exciting,2
sister,2
rare,2
side,3
dinner,3
good deal,2
nice touch,2
lot,2
happy,3
head,2
offer,2
pleased,2
eat,3
rump steak,3
made,5
places,2
fries,6
2 courses,2
year,2
tasty,4
home,3
£16,2
£14,2
nice,5
requested,2
felt,2
prepared,2
bearnaise sauce,2
friends,2
sides,6
longer,2
glass,4
time,4
