name,count
festival theatre,2
pad thai,5
worth,3
find,3
change,2
great,2
good range,2
recommend,2
excellent,2
£6,2
starter,2
place,5
prawns,2
thai red curry,2
whilst,2
good,2
food,5
lunch,4
didn,3
courses,2
meal,2
idea,2
bland,2
lemongrass,2
authentic thai dishes,2
thing,2
delicious,2
service,2
dishes,2
efficient,2
situated,2
don,2
coconut milk soup,2
chicken,3
staff,3
busy,2
bad,4
restaurants,3
restaurant,2
table,2
due,2
ve,2
thai basil,4
thought,2
money,2
people,2
curry,2
made,2
flavour,2
inside,2
soups,2
taste,2
doesn,2
£12,2
nice,2
polite,2
thai food,2
fact,3
time,2
