name,count
flat white,3
worth,3
fireplace,2
broad beans,2
venue,2
haggis,2
bacon,7
street,5
fresh ingredients,2
brought,2
glass,2
excellent,2
£4,2
£7,2
give,5
honey,2
amazing,3
place,20
order,5
avocado,5
coffee,14
wanted,5
ate,2
days,3
delicious,10
wasn,3
service,6
spinach,2
top,3
butter,2
serve,4
seated,3
feeling,2
mind,2
mine,2
poached egg,4
plenty,2
don,6
fussy,2
enjoyed,3
toast,8
busy,2
menu,7
plate,2
nicely,2
decided,3
lots,4
asked,3
tiny,2
expected,4
lovely,4
suppose,2
breakfast,11
things,5
make,5
burgers,2
seasonal,2
kale,3
smoothies,3
bit,4
50,2
breakfast items people ordered,2
steps,2
shakes,2
dinner,3
happy,2
inside,2
juices,2
weekend,2
fact,3
time,10
yummy,4
brownie,2
princes street,2
eating,2
wait,7
french toast,6
love,8
visit,3
yoghurt,2
chocolate,2
great place,2
awesome,2
1,3
breakfast smoothie,2
edinburgh,15
side salads,2
spot,3
birthday,2
tapas,2
cute,8
fresh juices,2
lunch,8
half,2
mocha,2
didn,4
year,2
care,2
yum,2
honesty,2
city,2
2,3
friend,6
angel,2
service isn,2
sat,2
filter coffee,2
interior,2
price,3
3,2
chorizo,4
unusual,2
scrambled eggs,2
sound,2
week,3
locally sourced,2
rest,3
4,3
early,3
preference,2
arbroath smokie,2
favorite,2
side,6
taste,3
tasty,5
wifi,2
dish,3
eggs benedict,3
fan,2
decide,2
tea,3
opted,2
presented isn,2
full,3
pick,2
options,2
door,2
town,7
beautiful,2
flat bread,3
great service,3
wouldn,2
good,15
food,21
walls,2
stopped,3
found,4
fish,2
put,6
guy,2
feel,3
kind,3
sandwiches,4
portobello mushrooms,2
eggs,5
salmon,2
fine,4
find,4
pretty,2
hit,2
feels,2
bars,2
recently,2
restaurant,2
cakes,3
point,2
simple,3
sweet,4
expensive,2
crispy bacon,2
pricey,5
poached eggs,4
reliable,2
decor,2
arrived,3
world,2
disappointed,2
customers,3
couple,2
highly recommend,4
back,12
porridge,4
run,2
served,3
range,2
long,3
homemade,2
relaxed,4
char,2
nice,6
favourite,2
prepared,2
land,2
cooked,2
fresh,4
good food,2
gf,2
ambience,4
friendly,11
urban angel,12
cozy,3
great,9
30,2
sit,5
vibe,3
located,2
completely burnt,2
light,4
counter,2
perfect,3
ll,2
ricotta,2
day,6
delightful,2
ambiance,2
special,3
organic,3
area,3
times,4
quality,2
festival,2
lot,3
loved,5
comfortable,2
mix,2
impression,2
atmosphere,3
selection,2
chicken,2
hanover street,3
staff,10
hadn,3
local,2
beat,2
words,2
superb,3
figured,2
top notch,2
table,11
addition,2
brunch,11
chicken blt,2
ve,14
friendly service,3
thought,2
looked tasty,2
eggs benny,2
home,2
pasta,2
eat,6
made,2
cake,4
ingredients,3
coffees,3
star,2
friends,2
portion,2
