name,count
chili,2
worth,3
pub quiz,3
enjoy,3
told,3
meh,2
saturday night,2
fantastic,2
glass,2
excellent,2
£7,2
bartender,3
work,2
give,2
specials board,2
end,4
thing,2
amazing,2
massive,2
wrong,2
chilled,2
order,9
wine,3
previous review,2
bread,2
meal,5
saturday,3
wanted,4
isn,2
tempting,2
delicious,10
wasn,5
service,14
needed,2
seated,2
friend,6
feeling,2
mind,3
mine,2
hearty,2
plenty,2
don,9
great drinks,2
busy,9
menu,6
plate,2
bar,17
grilled,2
confusion,2
kitchen,2
asked,5
beer,2
expected,2
lovely,5
catch,2
nice atmosphere,3
things,2
make,8
plates,4
hand,2
burgers,4
left,2
easy,2
night,5
people,7
sugar rush,2
booking,2
dinner,6
slightly,2
quirky,4
happy,4
annoying,2
check,5
good thing,3
smell,2
felt,2
lot,3
time,16
managed,2
chair,2
yummy,2
cool,5
couches,3
item,2
saving grace,2
sign,3
cosy,4
drinks,14
wait,2
love,9
sweet potato fries,7
flavors,2
visit,7
armchairs,2
beers,3
candlemaker row,2
great place,3
soup,2
arrive,2
pint,2
edinburgh,10
cocktail,3
date,3
midnight,3
group,2
interesting,3
gem,2
policy,2
main,2
tucked,2
food menu,2
lunch,2
half,3
waiter,3
honest,2
funky,2
place,31
cheese,2
bite,2
pinot noir,2
sat,3
ideal,3
cleared,2
slow,2
husband,2
bit pricey,2
seat,2
cocktails,13
impressions,2
review,5
insist,2
olives,2
mary,2
attentive,2
good,13
pay,2
week,4
finish,2
bottle,3
money,2
rest,2
coming back,2
starving,2
disappointed,2
furniture,3
served,2
area,3
start,2
low,2
stars,2
agree,2
stumbled,2
deserve,2
brutally honest,2
chris,2
extended living room,2
good food,4
grassmarket,3
underground atmosphere,2
reviewers,2
sitting,2
cosy atmosphere,2
burger,6
full,4
experience,2
eye,2
takes,2
6,2
town,2
hour,2
sudden,2
bloody mary,2
share,2
rude,2
coming,3
short,3
attitude,2
wouldn,4
evening,2
return,5
food,20
walls,2
stopped,2
found,2
fish,3
hard,2
idea,3
friendly staff,2
expect,3
alcohol,2
sweet side,2
issue,2
drink,12
pub,3
reason,4
put,2
feel,5
miss,2
comfy,5
shabby chic,3
passed,2
kind,6
orders,3
reckon,2
eaten,3
nice place,2
fine,3
find,6
stairs,25
bars,2
won,3
recently,2
attention,4
restaurant,4
buzz,2
point,2
expensive,3
priced,2
prices,2
bill,3
ready,2
decor,2
arrived,2
railings,2
return visits,2
sunday lunch,2
tables,6
couple,5
bit,5
popular,2
highly recommend,2
back,5
basement bar,2
charm,2
great cocktail bar,2
long,7
relaxed,3
fries,2
ordered,5
doesn,5
nice,10
low ceilings,2
concerned,2
friendly,4
dessert,2
noted,2
giving,2
waiting,3
eating,4
cozy,2
great,8
suggests,2
opinion,2
makes,3
doubt,2
awesome,3
started,2
whisky,3
salad,2
tap,2
varied,2
sit,4
light,2
whilst,2
4 stars,2
ll,6
veggie burger,2
day,2
warned,3
ambiance,2
early,3
times,6
quality,2
haven,4
loved,3
quality food,3
visited,2
comfortable,4
mix,2
face,2
atmosphere,7
selection,3
table service,15
staff,14
hope,3
means,2
perfection,2
inventive,2
packed,3
super friendly,2
taking,3
great selection,3
falafel burger,2
table,10
quiz,2
sweet potato chips,3
ve,12
strange,2
thought,3
add,2
kick,2
decent food,2
chairs,2
didn,8
home,5
bit weird,2
cocktail menu,5
friends,7
eat,4
made,7
places,5
problem,2
minutes,2
book,2
star,2
chance,3
