name,count
dish,3
friendly,2
dessert,2
quick,2
escargot bleu,2
french,4
great,3
meats,2
visit,2
france,3
main,3
excellent,2
£7,2
starter,2
soup,2
heart,2
edinburgh,3
sell horse meat,2
coffee,2
good,6
food,7
broughton street,2
meal,2
hard,2
year,2
special,3
couldn,2
thing,2
place,6
cheese,2
delicious,5
wasn,2
quality,4
service,6
part,2
loved,2
scotland,3
don,3
fact,2
chicken,3
staff,3
menu,3
cassoulet,2
restaurants,2
restaurant,2
fault,2
sister restaurant,2
scottish,2
expensive,2
escargot blue,2
attentive,2
ve,2
evening,3
make,2
thought,2
love,2
bit,4
night,2
back,2
newcomer,2
served,2
eat,3
made,2
ordered,3
tasty,4
ingredients,3
highly recommended,2
nice,2
wife,2
