name,count
saved,2
grassmarket,3
meadows,2
paradise,2
enjoyed,2
great,3
cooked,2
open late,3
town,2
reviews,3
choose,2
good,6
food,2
pizza,10
expect,3
alcohol,2
ate,2
days,2
times,3
thing,2
place,9
delicious,2
sober,4
stars,2
visited,2
tastes,2
buy,2
eaten,2
don,2
fact,2
hunger,2
cheap,2
find,2
staff,2
conveniently located,2
pretty,2
morning,2
fair,2
review,2
drunk,4
simple,2
ve,3
shame,2
munch,2
pizza paradise,3
day,3
early,2
bit,2
night,6
back,2
home,2
slice,2
toppings,2
stumble,2
godsend,2
places,2
friends,2
time,2
