name,count
chinese,2
waverley bridge,2
waiters,2
choice,2
princes street,2
trouble,2
find,2
great,2
food isn,2
jimmy chung,3
sit,2
ll,2
good,6
food,10
meal,2
avoided,2
ice cream,2
days,2
food wasn,2
thing,2
place,3
long,2
quality,3
price,4
buffet,3
don,5
hungry,2
train station,2
charged,2
chicken,2
enjoyed,2
stuff,2
chinese food,3
noodles,2
expert,2
won,3
restaurant,3
table,2
eat buffet,4
expected,2
ve,2
jimmy chungs,4
pay,2
make,3
money,2
bit,2
didn,2
people,3
back,2
chinese buffets,2
jimmy,2
lot,3
offer,2
eat,2
tasty,3
£12,3
friends,3
age,2
