name,count
worth,3
waiters,2
choice,4
cool,2
small,3
great,2
amount,2
visit,4
£9,2
town,2
friendly,3
praise,2
vodka,2
end,3
sit,2
edinburgh,4
maintain,2
ended,2
ll,2
tonic,9
good,4
food,2
front,2
side,2
cocktail,4
place,6
friend,2
plenty,2
fantastic cocktails,2
fact,3
atmosphere,2
busy,4
menu,3
bar,5
bad,3
cocktails,8
bar staff,2
pricey,2
fun,2
evening,2
drink,5
tables,2
bit,4
staff,2
back,4
ice,2
cocktail menu,2
long,2
stars,2
george street,3
made,2
nice,2
weekend,2
excellent cocktail bar,2
time,2
