name,count
chain,2
row,2
yummy,2
dessert,3
venue,2
enjoy,2
request,2
booth,2
opted,2
great meal,2
carbonara,2
order,2
full,2
wait,2
great,13
brilliant,2
lasagne,2
menu,8
brought,2
duck,3
call,2
glass,3
3 courses,2
£9,2
excellent,2
starter,4
great place,4
work,2
friendly,4
prompt,2
share,3
italian restaurant,3
times,4
huge,3
sit,2
write,2
amazing,3
struggled,2
pizza,5
edinburgh,2
spot,3
wrong,2
date,4
waste,2
light,3
wine,7
cold,2
perfect,3
main,5
absolutely delicious,3
good,9
food,18
lunch,4
day,2
george street,5
mushrooms,2
meat,2
didn,6
courses,2
sticky toffee pudding,2
reasonable,2
pistachio ice,2
side,3
ambiance,2
disappointing,2
space,2
put,2
wanted,2
couldn,4
waiter,2
gusto,14
place,11
feel,2
number,2
fancy,2
delicious,5
wasn,4
city,2
sadly,2
service,9
stars,2
kitchen,3
part,3
seated,2
visited,2
food bill,2
walk,2
gnocchi,2
interior,2
20%,2
eaten,2
friend,2
don,4
refreshing,2
looked,2
fact,3
find,2
staff,6
busy,2
hadn,2
pretty,2
plate,2
stop,2
perfection,4
attentive staff,2
told,2
husband,2
set,2
honesty,2
enjoyed,4
seat,2
cocktails,4
flavours,2
meatballs,2
group,4
received,2
restaurant,8
asked,2
point,2
table,10
expensive,2
classic italian food,2
50%,2
lovely,6
modern,3
ambience,3
prices,3
attentive,3
bill,3
ve,5
middle,2
experience,2
partner,2
decor,3
make,8
party,2
cream,2
finish,4
arrived,4
thought,4
left,2
rest,2
front,2
tables,2
ham,2
irish coffee,2
extensive,4
surprised,2
starving,2
big,3
bit,4
night,3
people,3
absolutely,2
back,9
home,2
filling,3
quickly,3
speak,2
meal,6
dinner,8
book,2
seating,2
lot,2
offer,2
recommend,6
eat,2
made,3
problem,2
ordered,6
tasty,8
tip,2
italian restaurants,2
ice cream,2
nice,7
time,9
pizzas,3
friends,2
walked,2
cooked,5
portion,2
