name,count
managed,2
dish,3
finally,2
starter,6
friendly,4
dessert,4
fan,2
list,3
small,2
enjoy,2
chef,2
find,6
great,2
perfectly cooked,2
peppery rocket,2
hoping,2
visit,5
recommend,3
excellent,2
heard,3
lamb,2
located,2
place,4
edinburgh,5
light,2
excellent food,2
order,2
wine,2
plaice,2
perfect,3
style,2
main,6
good,6
cafe saint honore,3
food,6
day,4
meat,3
didn,3
courses,3
found,2
meal,3
fish,4
expect,2
impressed,3
wanted,2
ate,3
service,7
times,2
thing,3
delicious,7
wasn,2
mirrored walls,2
friend,3
thistle street,2
part,2
loved,3
kind,3
dishes,2
knew,2
salmon,2
don,5
cooked perfectly,3
atmosphere,3
mains,2
bring,2
enjoyed,4
staff,3
menu,7
restaurants,2
won,2
admit,2
top notch,2
exception,2
balance,2
ve,3
make,2
amount,2
party,2
thought,2
cafe st honore,3
bit,2
night,3
served,5
people,2
back,4
home,3
wine list,2
chance,2
dinner,2
mouth,3
lacked,2
potato rosti,2
start,2
forward,3
local produce,2
happy,3
offer,3
made,3
smooth,2
ordered,3
cafe,2
felt,5
fell,2
glass,2
cooked,2
time,5
