name,count
thai beef salad,2
drinks,5
opted,2
busy,2
staple,2
edinburgh uni students,2
recommend,2
excellent,2
£5,2
£2,2
town,2
great place,2
friendly,2
times,2
sit,3
1,2
chilled,2
choose,2
good,4
food,6
lunch,6
day,2
pretty good,2
place,4
2,2
haven,2
george square,2
interior,2
don,5
order,2
cheap,2
find,2
staff,4
slow,2
menu,3
bar,5
cocktails,3
pop,2
main meals,3
prices,2
tasty,2
ve,3
evening,4
pay,2
drink,2
student,2
burgers,4
nachos,4
edinburgh university,2
location,3
couple,2
bit,2
chairs,2
night,2
fiver,3
back,2
assembly,4
meal,2
dinner,2
start,2
lot,2
offering,2
comfy couches,2
bristo square,2
doesn,2
friends,4
time,2
