name,count
limited,2
lack,2
£4,2
dish,4
couscous,2
smile,2
presentation,3
worth,2
fan,2
cook,2
salad,4
mild,3
leave,2
small,4
loads,2
tea,3
crave,2
colourful,2
cosy,4
paying,2
chickpeas,2
full,3
cozy,4
hours,2
wait,2
great,8
love,6
thankfully,2
vegetarians,2
pakora,3
visit,3
recommend,3
relax,2
india,5
charming,2
excellent,4
£5,2
£6,2
£2,2
great place,2
room,2
decked,2
friendly,9
left,2
thin,2
mango lassi,2
times,2
returned,2
lamb,2
naan bread,2
sit,2
hot,2
edinburgh,18
cous cous,2
coming,2
authentic,5
short,2
counter,2
feels,3
order,3
bustle,2
écor,2
whilst,3
bunch,2
perfect,3
ll,4
amazing,2
listing,2
samosas,2
coffee,3
good,12
return,2
food,21
lunch,2
walls,4
chicken masala,2
mango cheesecake,7
cheesecakes,2
filling,2
side,4
pretty cool,2
hard,4
yeah,2
mosque kitchen,2
expect,3
space,2
miss,2
pretty good,3
great indian food,2
found,2
put,4
craving,2
couldn,3
inexpensive,2
days,2
thing,2
place,20
throws,2
feel,9
fancy,2
delicious,5
wasn,4
noticed,2
open,2
service,10
flavourful,2
needed,2
white,2
low,3
ceiling,2
lot,5
part,4
overwhelming,2
10,13
kind,4
crowded,2
comfortable,3
juice,2
spicy,3
pay,2
dishes,5
efficient,3
reasonable,2
cave,2
interior,3
added,2
price,6
adds,2
3 days,2
don,9
refreshing,2
nice place,2
fact,4
atmosphere,3
selection,2
cheap,9
large,2
find,6
staff,8
busy,4
based,2
menu,6
rice,6
plate,2
bollywood movies,2
years,2
bring cash,2
fresh salad,2
won,2
restaurant,7
incense,2
bit small,2
snapfax,2
cakes,3
sweet,3
tons,2
chicken tikka masala,2
curries,4
expected,2
lovely,5
roti wraps,2
mind,3
offered,2
priced,2
prices,5
case,2
half garlic naan,2
sauce,2
budget,2
weren,3
pound,2
ve,6
isn,2
decor,3
things,3
make,9
week,2
student,3
makes,2
options,2
thought,3
dehli,2
seats,5
ve stepped,3
thinking,2
excited,2
gave,2
delhi,12
background,4
bit,5
disappointed,3
served,3
nice,5
seating,4
didn,6
people,4
naan,2
back,9
nice atmosphere,2
eating,5
intimate,2
prepared,3
world,3
meal,4
curry,5
recommended,2
spicier,2
impressed,2
fast,2
student deals,2
area,4
long,2
start,2
gorgeous,3
eat,5
spice,4
made,2
portions,2
places,2
inside,3
tiny,2
highlight,2
ordered,2
taste,4
chai,6
doesn,4
tasty,2
cafe,2
variety,2
coffees,2
smell,3
favourite,2
included,2
decorated,2
friends,6
portion,3
warm,3
city,2
time,8
