name,count
good food,3
large group,2
dish,2
yummy,3
starter,3
friendly,9
town,3
royal mile,3
leave,2
tender,2
enjoy,5
hanam,8
situated,2
pleased,2
shared,2
full,2
vegetarian dish,2
meh,2
dry,3
great,3
based sauce,2
smoke,2
spices,4
fantastic,3
love,4
charred,2
total,2
ve,4
hanams,3
give,4
visit,2
humus,2
door,2
started,3
£9,2
£5,2
95,2
glad,2
baba ghanoush,2
share,2
lamb,4
naan bread,2
sit,2
amazing,4
kebabs,2
edinburgh,9
spot,3
uninspired,2
order,2
wine,4
cold,2
group,3
corkage,2
main,3
happened,2
good,5
food,15
eat,4
lunch,2
half,2
day,2
bread,3
lamb shawarma,2
didn,7
die,2
found,3
meal,6
hard,3
falafel wrap,2
pretty good,3
pleasant,2
wanted,4
advance,2
middle eastern food,3
ate,4
area,2
times,2
thing,2
chicken,3
place,12
corkscrew,2
castle,5
exotic,2
feel,2
delicious,7
wasn,2
bland,2
quality,3
plentiful,2
guess,3
service,7
top,2
2,2
garlic sauce,2
show,2
friend,2
dessert,3
tasted,3
dishes,3
efficient,2
ideal,2
wanting,2
knew,2
lots,2
don,7
hungry,2
looked,3
professional,2
atmosphere,3
mains,4
bring,5
booze,3
fine,3
find,3
staff,8
menu,4
starters,3
left full,2
rice,4
lamb gosht,2
hit,2
watch,2
bad,2
minced lamb,2
view,2
enjoyed,3
flavours,3
seated,2
review,3
yogurt,2
restaurant,10
hummus,9
eggplant,2
asked,2
walk,3
table,2
corkage charge,2
excellent service,2
lovely,2
serve alcohol,5
turned,3
prices,3
bill,2
cuisine,2
credit,2
things,2
bowl,2
party,2
balcony,2
pomegranate,3
colour,2
floor,2
thought,2
person,2
bottle,2
left,8
favourite places,2
rest,3
tables,5
gave,2
couple,2
fyi,2
early,3
halloumi,2
world,2
bit,3
disappointed,2
meat,2
helpful,2
50,2
night,4
served,5
shawarma,2
people,4
naan,7
back,6
falafel,5
courses,2
kurdish restaurant,2
dinner,2
fatoush,2
middle east,2
flavors,2
wrap,2
baba ganoush,2
long,3
forward,2
happy,5
dips,3
shisha,3
made,6
flavour,5
places,2
inside,3
byob,6
piece,2
agree,2
expect,3
ordered,4
doesn,3
tasty,7
fill,2
variety,3
highly recommended,3
smell,2
nice,6
star,3
felt,7
chance,2
decorated,2
friends,2
meals,3
time,6
fresh,4
basically,2
