name,count
reservations,2
steak tartar,3
pancetta,2
worth,14
special occasion,2
broad beans,2
haggis,6
enjoy,6
bacon,3
chef,3
street,2
croutons,2
meh,3
sound good,2
dry,2
kids,3
settled,2
envious,2
brought,3
call,2
recommend,8
glass,8
warm,5
excellent,6
£5,2
95,4
room,7
work,2
foodie,2
give,7
green beans,3
end,8
travel,2
amazing,11
disappoint,3
fudge,3
wrong,3
extensive wine list,2
excellent food,4
oysters,5
order,5
wine,14
écor,2
beautiful restaurant,3
coffee,4
bread,7
meat,4
meal,23
told,3
mashed potatoes,2
heavenly,2
wanted,11
ate,8
days,3
isn,6
loud,2
delicious,16
wasn,12
é,2
service,41
top,3
big deal,2
needed,5
famous restaurant,2
showed,5
seated,2
matter,3
fabulous,3
spoiled,3
mine,3
stomach,2
recommended,2
plenty,2
don,21
reputation,2
enjoyed,5
menu,12
rich,2
plate,3
appetizer,2
bad,6
steak,4
fair,2
decided,7
00,2
lots,2
props,2
terms,2
cut,3
kitchen,7
received,3
risotto,2
fault,3
neeps,2
light lunch,2
asked,9
calibre,3
tiny,3
expected,3
lovely,6
website,4
life,4
evening,5
suppose,2
gave,4
mistake,2
shame,5
make,11
opportunity,2
butter,5
rome,2
mother,2
cheese board,2
left,4
fantastic,6
save,2
5 stars,5
shadow,2
unique,2
50,6
steps,2
night,14
people,5
lamb wellington,2
bisque,2
memorable,2
dinner,20
dined,2
slightly,2
fraction,3
happy,4
head,3
offer,5
6,2
hear,2
portions,5
sides,4
specials,2
candlelit,2
mediocre,3
check,9
tip,3
setting,3
felt,10
switched,2
skip,2
manager,2
environment,2
maitre,4
choice,3
word,3
cool,3
impressive,2
presented,4
leave,2
pork,2
regret,2
cost,3
corner,2
drinks,8
chocolate tart,2
water,4
wait,3
boy,2
dublin,2
entrees,2
love,5
prove,2
visit,10
live,2
entrance,2
chocolate,2
entire staff,2
great place,2
reviews,2
soup,2
sour,2
awesome,2
heard,5
1,3
nyc,2
edinburgh,34
spot,3
date,3
candles,5
tight quarters,2
years,2
ended,4
cold,3
hot,3
main,16
lunch,10
half,3
didn,16
year,4
morning,2
sweet,4
chose,4
couldn,5
waiter,9
thing,4
place,36
husband,6
waited,4
cheese,2
long,4
open,2
city,4
checked,2
plastic,2
2,7
rouille,2
friend,3
eyes,2
set menu,3
alas,2
boyfriend,2
sublime,2
pre,2
tasted,4
sad,2
breakfast,2
sat,6
note,2
dining,6
wanting,2
price,12
knew,5
paid,2
average,3
hungry,3
professional,2
walking,3
shot,2
show,3
mains,2
cheap,3
good service,3
superb,2
slow,3
steak tartare,3
burnt cambridge cream,2
celebrate,2
worried,2
cornish bass,2
ways,2
review,6
3,9
arrival,2
august,2
cocktails,3
diners,2
flavoursome,2
offered,4
attentive,6
paying,3
great service,2
middle,2
make reservations,3
lobster bisque,3
pay,5
trip,10
isle,2
running,2
bottle,4
rest,3
flavor,4
refills,2
thinking,2
pallet,2
venison,5
4,2
read,4
dark,8
world,5
disappointed,9
server,2
served,10
creme brulee,2
intimate,3
polite,3
package,2
side,5
tatties,2
area,3
desert,3
start,9
stars,7
exceptional,2
rush,2
palate,2
taste,6
describe,3
general,2
tasty,4
girlfriend,2
fill,2
5,4
requested,4
time,16
suited,2
decorated,2
wife,7
nice meal,3
lack,3
dish,8
children,2
enjoying,2
presentation,2
turnips,2
fish pie,2
fat,2
small,6
tea,2
rate,3
pass,4
opted,2
section,2
anniversary,2
run,2
scallops,9
mull,2
reason,2
experience,16
options,3
family,4
eye,2
overcooked,2
gorgeous,2
basically,3
glad,2
town,3
history,3
beautiful,8
huge,3
price tag,2
stayed,5
menus,4
goat,2
rude,2
lighting,2
coming,2
short,2
pleasure,2
late,2
sauce,2
price point,3
wouldn,7
good,21
return,4
food,52
walls,2
courses,5
found,10
scottish & iberico cured & smoked meats,2
fish,5
hard,4
expect,11
candlelight,2
issue,2
drink,6
pub,2
mmm,2
put,3
american,3
expecting,4
castle,16
dine,3
dont,2
feel,8
fancy,5
bland,3
guess,2
wonderful,5
passed,2
hotel,2
part,2
albeit,2
kind,5
double,2
arborio,2
traveling,2
outstanding,2
thought,12
nights,2
scotland,6
added,3
salmon,6
eaten,4
extremely,2
windows,2
calling,2
fillet,2
fine,5
find,3
deserts,2
pretty,5
money,9
shared,3
personally,2
hype,2
restaurants,8
set,2
tender,2
close,3
wow,3
won,2
champagne,7
unique experience,2
recently,2
missing,2
restaurant,35
point,4
simply,2
expensive,3
cheese plate,2
lived,2
mind,2
loch duart salmon,2
understand,2
prices,3
straight,2
bill,6
disappointing,2
decor,9
moment,3
arrived,7
person,2
spend,4
things,5
alternative,2
tables,4
location,6
excited,2
couple,8
bit,12
absolutely,3
highly recommend,2
back,14
whipped potatoes,2
experienced,2
wine list,6
pea,2
eating,5
servers,4
downhill,2
