name,count
caramelised sun blush tomato,2
red wine gravy,2
dessert,2
french provençale banquet,2
presented,2
rack,3
chef,2
voucher,2
enjoyed,2
items,2
meats,3
starter,2
friendly,3
lamb,3
innovative,2
group,2
banquet,2
dauphinois potatoes,2
wouldn,2
coffee,2
good,3
return,2
food,3
courses,2
meal,2
delicious,3
service,2
friend,2
seared fillet,2
visited riverlife,3
sea bass,2
staff,3
starters,2
plate,3
flavours,2
byob,4
restaurant,3
lovely,2
rib eye steak,2
welcoming,2
red onion tarte tatin,2
left,2
bit,2
night,3
served,2
confit duck leg,2
back,2
sauces,2
warm goats cheese,2
warm goats cheese salad,2
vegetables,2
blue cheese,2
happy,3
tasty,2
prepared,2
