name,count
leith,4
finally,2
worth,2
scallops,3
yelpers,2
mussels,2
hadn,2
visit,3
excellent,3
shame,2
butter chicken,2
times,3
tapas,2
things,2
order,4
ended,3
group,2
sauce,2
chicken pakora,2
happened,2
good,4
food,3
half,2
meat,2
didn,2
found,2
meal,2
guchhi,6
place,7
wasn,2
quality,3
service,4
2,3
serve,2
kind,2
thought,4
dishes,2
potential,2
don,3
find,2
menu,3
eat,2
bar,2
won,2
tapas menu,2
seafood,2
restaurant,2
asked,2
point,3
due,2
ve,4
partner,2
decor,2
make,2
week,2
read,3
couple,3
bit,2
served,2
back,3
table,2
long,2
start,2
dips,2
ordered,5
tasty,3
£15,2
nice,3
pilau rice,2
felt,2
fact,3
time,2
fresh,2
