name,count
worth,5
main courses,2
enjoy,5
bill,5
chef,2
great idea,2
told,2
business lunch,2
drew,2
fantastic,5
explained,3
brought,4
recommend,5
£4,2
good steak,5
join,2
work,2
steak restaurant,3
give,2
complaining,2
amazing,5
lot,6
oysters,2
order,5
wine,6
expectations,2
absolutely delicious,3
meat,13
reasonable,2
meal,7
bone,2
steak cuts,2
wanted,3
wasn,6
service,13
showed,2
verging,3
matter,2
friend,2
recommended,2
gravy,4
plenty,3
don,4
tempted,3
mailing list,2
menu,6
plate,3
bar,2
bad,3
steak,16
fair,2
fluffy,2
lots,2
cow,2
asked,4
beef,7
quickly,2
lovely,6
£100,2
weren,3
onion rings,2
make,5
plates,2
board,2
night,3
people,3
unusual cuts,2
dinner,3
afternoon,2
20%,2
blue cheese,2
happy,5
medium,8
check,2
tip,2
nice glass,2
felt,2
longer,2
time,11
managed,2
long time,2
veg,2
cook,4
leave,4
steak boards,2
steaks,9
cost,2
voucher,2
roasties,2
fillet,3
wait,2
suggestion,2
love,2
extra,2
visit,2
making,2
awesome,2
chic,2
pink,2
sirloin medium rare,2
birthday,2
date,2
block,2
cuts,7
group,4
lunch,3
half,3
january,2
didn,10
advance,3
couldn,2
waiter,3
thing,4
place,7
size,2
city,3
eyes,2
tasted,2
price,3
knew,2
cooked perfectly,5
nice steak,2
flavour,2
inside,2
roast joint,2
review,2
3,2
fillet steak,4
deliciously,2
disappointment,2
50%,3
attentive,3
middle,4
evening,3
pay,2
floor,2
bottle,3
rest,3
4,3
disappointed,2
server,2
served,4
roast,4
intimate,2
discussed,2
side,4
sides,5
stars,4
taste,3
tasty,4
carved,2
cream,3
suited,2
platter,3
kyloe,20
difference,2
half price,3
issue,2
list,4
bavette,2
opted,2
full,6
experience,5
amount,2
options,3
family,3
glad,3
share,3
price tag,2
creamed spinach,2
sauce,2
wouldn,4
good,13
food,11
die,2
delicious,5
expect,2
organised,2
definately,2
put,5
vanilla ice cream,2
castle,3
feel,4
guess,2
part,2
juicy,2
special occasion,2
pennies,2
fine,3
unhappy,2
pretty,4
red wine,5
tender,6
yelpers,2
won,3
attention,2
restaurant,13
sweet,2
crispy,2
expensive,2
due,3
understand,2
£25,2
decor,3
9,2
arrived,4
spend,2
sunday lunch,4
tables,2
cut,5
bit,7
rutland hotel,2
back,10
newsletter,2
crumble,2
gillian,2
impressed,4
uk,2
ordered,8
apple crumble,2
nice,4
favourite,2
problems,2
visits,2
desert,2
cooked,11
jason,3
gf,2
sunday roast,6
send,3
friendly,6
dessert,5
putting,2
salad,2
enjoyed,6
chose,3
great,8
apple,2
yorkshire pudding,2
beef dripping chips,3
sort,2
8,2
rare,4
starter,2
customer,3
sit,2
vibe,2
light,2
whilst,2
perfect,4
ll,7
choose,3
front,2
feast,3
accompanied,2
edinburgh,5
onglet,4
red,2
surely,2
steak board,2
times,3
keen,3
waitress,6
quality,5
loved,4
visited,2
red meat,2
looked,2
fact,3
atmosphere,2
terrific,2
bring,4
staff,7
joint,3
perfection,5
chips,8
view,4
mentioned,3
superb,3
admit,2
table,11
seasoned,2
finished,3
ve,11
30 pm,2
thought,5
toilets,2
tenner,2
add,3
choosing,3
home,2
friday night,2
stage,2
west end,2
polished,2
vegetables,2
made,7
problem,3
piece,2
jenny,3
sirloin,7
medium rare,5
book,3
star,2
friends,3
yelp,3
