name,count
good food,2
regulars,2
atmosphere,2
friendly,4
years ago,2
good selection,2
large,3
round,2
work,4
drinks,4
great,4
visit,2
sit,2
dinner,3
pint,2
man,2
orchard,10
satisfied,2
brie,2
ll,2
good,6
tasty food,2
food,4
day,4
delicious,3
wander,2
pub,3
place,5
service,3
botanic gardens,2
efficient,2
don,3
selection,3
show,2
staff,5
chips,2
bar,3
beer,3
great pub,2
bill,2
ve,5
make,3
drink,4
friends,3
money,2
bit,2
point,2
customers,2
disappointed,2
helpful,3
served,2
back,2
botanical gardens,2
area,2
offer,2
eat,4
tasty,4
nice,4
time,4
