name,count
spring rolls,9
dish,3
attentive,2
sriracha sauce,2
yummy,2
vietnamese,2
concerned,2
true vietnamese style,2
veg,3
finally,5
friendly,4
lack,2
choice,3
artwork,2
tailoring pho,2
great service,2
bring,2
eat pho,2
small,9
pork,2
vietnamese restaurant,2
covered chicken rice porridge,2
past,2
picked,2
addition,2
opted,4
deliciousness,2
area,2
shared,2
dissapoint,2
told,2
full,6
chose,2
chilli sauce,3
shouldn,2
wait,3
great,11
healthy,2
experience,2
makes,3
criticism,2
love,5
vietnamese place,2
wanted,4
visit,5
chilli sauce left,2
6,2
sort,2
benchmark,2
fried tofu,3
crab meat filling,2
£6,3
£1,3
work,2
worth,2
soup,3
compare,2
give,3
pleasantly crunchy,2
share,2
veggies,4
partner,3
end,3
place,15
edinburgh,13
spot,2
small restaurant,2
vietnam house,2
mushrooms,2
prawns,3
honestly,2
order,4
wine,5
great addition,3
radar,2
cold,3
perfect,2
ll,3
focussed,2
good,8
haven,2
food,8
half,2
coriander,3
didn,6
filling,3
reasonable,2
accompanied,3
house,3
fish,4
wasn,3
idea,2
finish,3
expect,3
large,3
space,2
found,3
beef pho,2
reason,2
put,3
fried rice didn,2
yum,5
waitress,2
fresh spring rolls,3
feel,3
fast,2
delicious,9
minced pork,2
owner,3
vietnam,3
quality,3
city,2
service,7
chop sticks,2
happy man,2
bits,2
excellent,5
vietnamese coffee,2
kind,2
fried rice dish,2
gotta,2
visited,2
pre,3
tasted,2
genuine,2
dishes,3
person,3
vietnamese food,3
imagined,2
mix,2
spring roll,2
price,3
don,12
seafood,2
lots,2
review,2
fact,2
mains,4
cheap,2
fine,2
staff,5
busy,4
menu,11
winner,2
judged,2
money,3
rice,2
plate,4
loved,2
stop,2
lucky,2
summer rolls,2
fried noodle dishes,2
bad,2
fragrant,3
elevator muzak,2
seat,3
personal taste,2
noodle soups,2
noodles,7
great food,2
wow,2
good pho,2
won,2
mouthful,2
hold,2
literally,2
group,3
kitchen,2
restaurant,5
rice noodles,2
asked,3
tough,2
wall,2
table,8
crispy,2
light,2
beef,3
bean sprouts,2
curries,2
lovely,2
life,2
pork filling,2
prices,4
leave,2
bill,2
beansprouts,2
fun,2
fuh,2
ve,6
peanut sauce,3
absolutely delicious,2
broth,8
squid,2
middle,2
rid,2
things,2
make,7
bowl,6
pho,18
arrived,3
love vietnamese food,2
expand,2
vietnamese fried rice,2
thought,3
bottle,6
proper vietnamese place,2
bit,3
tables,4
disappointed,5
excited,2
couple,2
bigger side plate,2
vietnamese beer,2
night,4
served,6
nice,7
goi cuon,2
people,4
highly recommend,2
pronounce,2
back,9
home,2
edinburgh asian dining scene,2
pho bo,2
eating,2
pho vietnam house,3
small dipping sauce size portion,2
diner,3
slightly,2
tofu,2
tiny,2
book ahead,2
aren,2
vegetables,2
long,2
lot,2
happy,3
head,3
gorgeous,2
hoped,2
eat,4
longer,2
made,6
total winner,2
byob,6
veggie pho,3
fried,2
called,2
ordered,5
taste,4
moved,2
tasty,6
ingredients,2
aromatic,2
book,6
repeat,2
monday,2
felt,2
herbs,2
reservation,4
decorated,2
friends,2
typical vietnamese street food staples,2
beef tender,2
pho chay,2
time,10
fresh,7
