name,count
worth,4
enjoy,4
bacon,3
kids,2
music,5
relax,2
glass,6
warm,4
£8,2
work,3
give,6
green beans,2
veggies,2
end,5
conversation,2
yum,2
chilled,4
hemma brunch,2
order,10
wine,2
fab,2
modern building,2
chatty,2
bread,2
side,7
wanted,5
knit,3
days,2
loud,2
lettuce,2
delicious,3
wasn,3
service,6
top,3
skinny fries,2
feeling,3
mind,2
scrambled egg,4
victoria,6
don,10
metal,2
enjoyed,4
toast,2
busy,2
menu,9
plate,3
watch,2
bar,14
hemma means,3
decided,2
lots,5
kitchen,2
boda bar,3
asked,4
sit back,2
beer,3
worked,2
chill,3
weren,2
things,3
make,10
big,7
burgers,2
left,3
gave,2
mayo,2
steph,2
night,8
people,3
months,2
slightly,2
free wifi,3
delighted,2
place existed,2
blue cheese,3
happy,9
offer,4
portions,4
comfy couches,2
felt,3
hemma,28
comments,2
finally,2
cool,5
hour,2
comfy chairs,2
leave,2
cosy,6
drinks,10
laid back,2
water,4
wait,3
healthy,2
fairy lights,7
love,6
working,2
visit,4
beers,5
reviews,2
arrive,2
heart,2
swedish,8
edinburgh,6
spot,3
guys,3
man,2
remember,3
group,2
amazing,3
spacious,3
lunch,6
half,2
didn,13
year,4
salads,7
space,6
thing,4
place,20
massive,3
coming,2
open,2
size,4
bite,2
friend,2
quirky,4
extra star,2
sad,2
sat,2
holyrood park,3
note,2
price,2
bright,2
corner,3
slow,2
nice,5
yelp brunch,2
seat,3
cocktails,5
review,3
3,2
tun,2
chorizo,2
boda bars,3
scrambled eggs,5
homely,5
photos,2
attentive,2
paying,2
coffee,2
middle,2
evening,3
trip,3
events,2
finish,3
totally,2
sam adams,2
rest,5
coming back,5
knitting group,2
starving,2
disappointed,3
dare,2
server,2
served,4
joseph pearce,7
provided,3
sharing platters,2
comparison,2
meal,4
mixed,2
area,4
start,2
lot,3
downstairs,2
taste,2
tasty,7
time,14
building,3
children,2
sitting,2
small,2
tea,3
burger,3
opted,2
full,4
sofas,3
options,2
door,2
glad,3
town,5
yelp stitch,2
huge,8
comfort,2
sandwich,3
rude,2
egg,3
good,17
food,28
upstairs,3
hard,3
idea,2
expect,2
surrounded,2
smoked trout,4
pleasant,2
imagine,2
put,2
feel,9
comfy,2
part,3
kind,4
hassleback potatoes,2
ages,2
rugs,2
play,2
eaten,2
windows,4
sunny,4
holyrood road,2
cozy,2
visiting,3
wow,2
recently,2
missing,2
great selection,5
restaurant,2
cakes,3
point,2
sweet,2
mine,4
prices,2
bill,3
ready,2
decor,2
knitting,4
lie,2
levels,2
arrived,4
people ordered,2
tables,5
location,4
excited,4
surprised,3
couple,2
bit,3
arthur,2
back,10
added,2
run,2
delish,2
impressed,7
forward,3
relaxed,2
fries,4
ordered,3
doesn,3
favourite,3
meals,3
friendly,16
great place,3
trout,3
odd,2
waiting,2
making,2
boda,7
great,9
makes,2
awesome tunes,2
awesome,2
parliament,2
salad,8
couches,2
tap,5
wonderful,2
sit,2
vibe,5
stop,2
bothered,2
light,2
whilst,2
4 stars,2
ll,7
veggie burger,2
dill potato salad,2
front,3
ambiance,2
potato salad,2
pretty good,2
times,5
haven,2
loved,3
visited,2
comfortable,4
close,3
apparently,2
dishes,2
looked,3
atmosphere,4
cute,2
debate,2
staff,16
local,3
hope,4
made,6
view,3
perfect,6
taking,2
walk,2
table,3
brunch,3
welcoming,2
ve,11
lush,2
tomatoes,3
difficult,2
drink,5
thought,4
generous,2
day,6
sofi,8
helpful,6
chairs,3
works,2
expected,4
home,12
literally,3
avoid,2
host,2
worthy,2
mushrooms,4
chatting,2
coke,2
bun,2
eat,10
lovely,6
places,2
cake,2
problem,3
jenny,3
girl,2
croque monsieur,3
star,2
chance,3
friends,7
portion,3
