name,count
managed,2
efficient,2
worth,2
choice,3
turns,2
small,3
round,2
enjoy,2
steep side,2
tea,2
bacon,2
burger,3
pass,2
drinks,12
fine,3
great meal,2
find,2
pancakes,2
hours,2
shouldn,2
busy,4
bruntsfield area,2
great,8
flavour,2
opinion,2
delicious meal,2
brought,2
visit,3
recommend,2
indigo yard,2
sort,2
popped,2
sharing,2
door,2
started,2
varied menu,2
glass,2
jurgen,2
excellent,3
town,2
work,3
friendly,4
give,3
share,2
honest,2
end,2
sit,3
vibe,2
write,2
sunday,2
edinburgh,6
wrong,2
date,2
friendly service,2
classy,2
talk,2
wine,5
ended,3
montpelliers,2
cold,2
perfect,3
group,4
menus,2
ll,3
choose,3
main,4
wouldn,5
good,14
return,2
food,20
lunch,6
fancy,2
day,6
didn,3
10 pounds,2
courses,2
found,3
pint,3
meal,3
fish,4
idea,2
expect,3
special,2
ricks,3
surprise,2
reason,3
put,2
wanted,2
ate,3
couldn,4
waiter,2
days,2
times,5
thing,2
place,15
isn,2
top,3
feel,2
wasn,5
miss,2
spinach,2
needed,2
2,2
friend,6
happily,2
sweet,2
luckily,2
part,6
nicely decorated,2
boyfriend,3
matter,2
future,3
happy,3
modern,2
turned,3
sad,3
lunchtime,2
breakfast,2
sat,2
bruntsfield place,2
finding,2
wanting,2
price,3
salmon,2
mouth,2
fair,2
don,6
looked,3
nice place,4
fact,5
atmosphere,3
mains,2
table service,2
corner,2
chicken,3
staff,4
toast,2
menu,4
extremely busy,2
watch,3
feels,2
smoked salmon,2
chips,2
bar,8
places,2
bad,2
bars,2
full,4
montpeliers,14
won,2
bruntsfield,10
sold,2
suggested,2
restaurant,7
eggs,4
table,3
expensive,4
treat,2
lovely,2
tasteless,2
priced,2
quick,2
ve,8
coffee,2
evening,2
trek,2
decor,2
make,6
party,3
difficult,2
week,2
fuss,2
drink,8
thought,4
indulge,2
love,2
tables,4
cup,2
thinking,2
recommended,2
location,2
prefer,2
couple,3
world,2
bit,12
inviting,2
50,2
night,4
served,3
brunch,4
seating,4
people,5
back,9
service,7
crispy,2
broken,2
side,5
dinner,6
montpelier,3
impressed,5
area,5
long,2
head,3
offer,2
true,3
made,2
warmth,2
called,2
ordered,2
2 courses,3
doesn,2
eggs benny,3
lived,2
tasty,3
thursday night,2
quality,2
check,4
£10,6
nice,6
plate,3
reservation,2
visits,2
friends,5
meals,3
comfortable,3
cooked,2
time,6
alright,2
fresh,2
