name,count
large group,3
hate,2
environment,2
fun place,2
worth,3
frankenstein,18
venue,3
burger,3
drinks,9
rate,2
lights,3
full,3
hundreds,2
great,3
experience,2
makes,2
love,4
visit,2
music,9
frankenstein theme,3
means,2
type,3
today,2
sort,2
club,3
beers,2
town,3
room,2
friendly,4
obvious,2
tap,2
halloween,2
heard,2
appearance,2
huge,3
end,2
respectfully tapping,2
place,19
pint,3
pub,4
edinburgh,7
rude,2
wrong,2
pub crawl,2
order,2
bartenders,2
écor,2
1818,2
midnight,5
group,2
4 stars,2
interesting,2
amazing,3
wouldn,3
evening,4
tourist,2
food,8
day,3
warned,2
didn,2
dingy,2
found,4
side,2
expect,3
living,2
alternative classic hits,2
7,2
hilarious,2
originally,2
tourist trap,3
monster,3
free,2
american girls,2
wanted,2
honest,2
expecting,2
loud,2
feel,2
coming,2
floors,2
americans,2
wasn,5
guess,3
service,2
top,3
tourists,3
friend,4
ceiling,7
people kick people,2
dancing inappropriately,2
cocktails,2
undoubtedly,2
kind,3
mind,2
dancing,3
note,2
play,3
paid,2
don,13
average,2
part,2
clean,2
hear,2
entertaining,3
left,5
fact,2
atmosphere,5
cheap,3
fine,2
staff,5
weekends,2
american music,2
theme,4
pretty,4
loved,3
stop,3
bar,9
bad,2
view,2
bars,2
lots,3
meh,2
gimmicky,2
restaurant,2
dance floor,2
point,2
church,5
awesome dancing kind,2
table,2
catchy tunes,2
prices,3
weren,2
fun,8
gave,2
frankensteins,5
ve,11
played,2
good,8
gothic,3
decor,4
things,3
make,7
drink,6
student,4
kicked,3
spent,3
thought,2
burgers,2
ête,2
shoulder,2
dark,4
background,2
world,3
bit,6
50,2
night,7
people,4
back,7
recommendation,3
mood,2
avoid,3
great time,2
run,2
meal,2
afternoon,2
america,2
lot,3
security guard,2
lowered,6
eat,3
love music dance,2
huge fan,2
security guard kicked,2
inside,3
converted,2
minutes,2
warning,2
kick people,2
book,2
5,2
nice,2
students,3
felt,3
stay,2
lunch,2
friends,6
time,10
songs,2
