name,count
curried chicken,2
opted,2
enjoyed,2
filled,2
pancakes,2
chilli sauce,2
mozzarella,2
wait,2
queue,2
goats cheese,2
chocolate,3
£4,3
town,2
great place,2
work,2
worth,2
give,2
gluten free,6
amazing,4
edinburgh,5
wrong,2
crepe,8
light,3
nuts,2
perfect,2
ll,5
avocado,6
food,3
lunch,2
day,5
meat,2
filling,4
space,2
wanted,2
spinach,4
place,7
isn,2
cheese,6
delicious,2
open,2
specially,2
passed,2
feijoada,2
mine,2
juice,2
spicy,2
don,3
chicken,6
menu,4
rice,2
stop,3
savoury,2
release,2
brazil,4
lots,2
won,2
asked,2
sweet,4
crisps,2
basil,2
lovely,2
middle meadow walk,2
ve,5
wouldn,2
customers,2
chicken curry piri piri,2
ready,2
make,5
week,2
thought,2
bananas,2
smoothies,2
bit,2
generous,2
thinking,2
gluten free crepes,2
couple,3
50,2
served,4
back,3
home,2
run,2
fillings,3
meadows,2
long,2
offer,2
peppers,3
made,4
flavour,2
minutes,2
doesn,2
tasty,3
crepes,7
yelp,2
time,4
