name,count
managed,2
dish,2
pad thai,3
ambience,2
friendly,5
royal mile,5
red curry,4
manager,3
small,2
pork,2
stood,2
4,2
wait,4
dry,2
perfectly cooked,2
fantastic,2
love,2
ve,8
visit,4
live,3
recommend,2
msg,2
started,2
excellent,5
mellow,2
starter,4
great place,2
middle,2
reviews,2
beautiful,3
give,2
share,2
edinburgh,13
staying,2
rude,2
warm,2
red peppers,2
authentic,2
remember,2
prawns,3
mango,3
waitress,4
arrived,2
egg,2
find,2
years,2
perfect,3
ll,2
spacious,2
main,5
lychees,2
evening,3
return,2
food,17
break,2
lunch,4
meat,2
occasions,2
didn,5
stopped,3
love thai,2
meal,9
week,2
pot,2
mains,3
fried rice,3
thai restaurants,2
grapes,2
heat,2
craving,4
ate,3
yum,2
husband,4
castle,4
vegetables,3
lovely meal,2
simply,2
feel,3
delicious,8
wasn,5
city,2
service,9
start,3
top,3
scrummy,2
needed,2
ordered,4
tourists,2
friend,4
part,2
thai,3
overwhelming,2
good thai,2
modern,3
mine,2
som tum,2
dishes,3
price,3
don,7
great food,2
thai orchid,2
place,8
clean,3
atmosphere,2
30pm,2
green tea,2
chicken,3
fine,2
enjoyed,6
staff,7
green curry,5
menu,6
eat,3
starters,2
8,2
rice,4
hope,2
familiar,2
stop,2
thai restaurant,2
thai whisky,2
coconut rice,5
restaurants,2
close,4
lots,2
wow,2
3,3
won,2
restaurant,11
asked,5
comment,2
sweet,3
jeans,2
table,4
beef,3
decent,2
lovely,5
location,5
spring rolls,2
eastern,2
great,5
doesn,2
chicken marinated,2
welcoming,5
bill,2
pack,2
pedt orchid,2
good,7
funny,2
decor,3
make,5
tomatoes,2
table back,2
flavor,2
tables,2
cut,3
mix,2
excited,3
gave,2
checking,2
showing,2
disappointed,2
edinburgh castle,4
night,3
people,2
duck,3
back,9
booking,2
thailand,2
comparison,2
curry,3
rushed,2
long,2
stuck,2
spicy,6
offer,3
relaxed,2
sea bass,2
asian restaurants,2
spice,3
made,2
flavour,2
problem,2
taste,2
tasty,4
nice,6
time,6
meals,2
lot,2
portion,2
thai food,4
fresh,4
