name,count
byob policy,2
managed,2
forget,2
walking,2
lot worse,2
charge,2
friendly,3
khushi,12
enjoy,2
bill,2
drinks,2
established,2
giving,3
meals,2
khushis,2
full,3
great,5
arrive,2
experience,2
makes,2
corkage charge,2
pakora,2
90 minutes,2
visit,3
6,2
door,4
excellent,2
waiter,2
making,2
give,4
amazing,4
possibly,2
ordinary,2
edinburgh,5
worst,2
order,2
wine,2
cold,2
perfect,2
hot,3
main,3
good,4
food,11
didn,3
side,2
expect,2
leith walk,2
pretty good,2
found,2
imagine,3
put,2
wanted,4
craving,2
ate,3
place,10
long,2
delicious,2
wasn,3
city,3
service,8
top,3
friend,2
sign,2
kind,2
pre,2
turned,2
dinner,2
dishes,5
garlic naan,3
knew,2
indian food,2
plenty,2
don,6
selection,3
mains,3
bring,5
staff,3
busy,4
menu,3
starters,6
pretty,3
rice,4
shared,2
years,3
told,2
fair,3
decided,3
close,2
packed,2
restaurant,5
asked,4
walk,3
decent,2
beer,2
good restaurants,2
prices,3
paying,2
basmati rice,2
ve,4
decor,2
make,2
party,3
nights,2
options,2
thought,2
guys,2
friday evening,2
surprised,2
gave,2
couple,2
bit,3
burnt,2
night,3
popular,2
served,2
people,2
naan,6
arrived,3
back,5
feel,3
table,5
home,2
pickles,2
christmas,2
corkage,2
noisy,2
meal,3
curry,2
recommended,2
impressed,2
rushed,2
fast,3
start,2
happy,2
spicy,3
bite,2
ended,2
true,2
eat,3
made,2
portions,3
inside,2
byob,2
ordered,4
doesn,4
tasty,2
looked,3
nice,3
chance,2
reservation,3
friends,4
sides,2
grudge,2
portion,2
time,4
fresh,2
victoria street,6
