name,count
ice,2
friendly,4
bar area,2
back staircase,2
drinking,2
cool,3
haggis,3
revolution,2
discover,2
flavoured vodkas,2
extensive menu,2
drinks,3
pleased,2
filled,2
wait,2
yelp check,2
love,2
wanted,2
visit,3
recommend,2
sort,3
polish vodka bar,2
good music,2
work,2
give,4
share,2
confused,2
heard,3
edinburgh,5
sit,2
ended,3
group,2
interesting,2
hidden,4
crowds,2
absolutely delicious,2
good,5
tucked,2
food,6
day,2
didn,4
idea,2
realising,2
place,13
vodka bar,3
delicious,3
city,2
checked,2
top,2
girls,2
vodka,11
part,3
stairs,4
kind,3
matter,2
mind,4
don,3
secret polish vodka bar,2
fact,2
atmosphere,4
shot,4
corner,2
find,8
staff,3
vodkas,3
busy,2
nice,2
hadn,2
menu,4
free shot,2
lucky,4
bar,7
5 shots,2
close,3
closes,2
lots,2
won,2
joe,3
secrets,3
neeps,2
arcade pub,2
sweet,2
tiny,2
good sign,2
bar staff,2
photos,2
prices,2
spirit,2
case,2
fun,2
ve,4
make,2
amazing selection,2
week,2
effect,2
poland,2
secret arcade,8
couple,2
11pm,2
crowd,2
back,4
hazelnut vodka,3
night,2
secret,6
lot,4
happy,3
good vodka,2
form,2
downstairs,2
nice staff,2
flavour,2
taste,4
doesn,4
cockburn street,5
check,3
deadly,2
£10,2
students,2
time,5
friends,2
