name,count
friendly,4
garden,4
royal mile,4
teas,2
fried tomato,2
enjoy,2
tea,2
burger,3
sunny day,2
wait,2
great,2
love,2
working,2
&,2
visit,2
town,2
sit,2
spot,2
guys,2
tasty lunch,2
years,2
ended,2
chips,3
coffee,6
good,6
food,5
lunch,2
front,2
side,2
year,2
imagine,2
place,7
service,4
festival,2
friend,2
part,2
didn,2
breakfast,5
mix,2
don,2
looked,2
atmosphere,2
enjoyed,2
staff,4
busy,2
menu,2
bad,3
grab,2
fair,2
restaurant,2
asked,3
table,3
lovely,2
brunch,3
attentive,2
bill,2
ve,4
middle,2
evening,3
drink,3
cup,2
day,2
bit,2
understand,2
back,6
turkish coffee,2
happy,2
eat,2
places,4
piece,2
ordered,3
circus,4
nice,3
time,3
fresh,2
