name,count
charge,2
choice,4
royal mile,8
haggis,2
tea,3
bacon,2
full,2
explained,2
whisky,3
sit,2
bothered,2
wrong,2
window,2
wouldn,2
good,3
day,2
didn,3
found,3
edinburgh,3
fish,2
tourist trap,5
place,7
long,2
service,3
rabbie burns,5
tourists,5
kind,2
street,2
sad,2
tastes,2
thought,2
afraid,2
sandwiches,2
don,5
looked,2
fact,3
staff,2
menu,4
local,2
chips,2
bar,2
expensive,2
prices,2
decor,2
make,2
food,3
baked beans,2
summer,2
seats,2
irish coffee,2
easy,2
bit,3
50,2
literally,2
avoid,2
urged,2
lot,2
eat,2
places,2
cafe,4
nice,3
