name,count
grassmarket,6
friendly,2
street,2
told,4
mozzarella,2
great,2
wanted,2
recommend,3
sort,2
warm,2
excellent,2
great place,4
honest,2
sit,2
travel,2
sitting,2
amazing,2
pizza,8
edinburgh,3
order,2
find,2
coffee,2
good,12
food,9
lunch,2
didn,2
side,2
hard,2
friendly staff,2
times,2
place,6
feel,2
wasn,2
service,6
friend,3
efficient,2
added,2
don,3
average,2
chicken,2
busy,2
menu,2
means,2
bad,2
restaurant,3
expected,2
attentive,2
italy,4
pay,4
thought,3
complain,2
pasta,4
meal,2
create,3
area,2
back,4
peppers,2
made,5
places,2
black olives,2
ordered,3
taste,2
tasty,2
nice,2
pizzas,2
time,3
fresh,2
