name,count
fan,2
small,3
burger,13
giving,2
told,2
great,2
experience,2
love,3
visit,2
hold,2
challenge,2
give,2
edinburgh,6
wrong,2
order,2
ended,2
mentioned,2
perfect,2
sauce,2
wouldn,2
good,4
food,3
hands,2
meat,2
found,2
tray,2
meal,3
expect,2
miss,2
wanted,2
place,7
cheese,2
delicious,2
wasn,2
city,2
service,3
kind,2
thought,2
burgers,9
don,5
fine,2
find,4
staff,2
menu,2
loved,3
plate,2
milkshakes,2
chips,2
stuff,2
hype,2
seat,2
restaurant,2
bell,2
table,5
tiny,2
ve,3
make,2
finish,2
person,2
bit,3
sizes,3
night,2
people,2
sauces,7
nutty,2
booking,2
diner,4
range,2
decent,2
bun,2
made,3
fries,2
variety,2
book,5
booked,2
time,3
fresh,2
