name,count
loads,2
pleased,3
saturday night,2
great,4
love,2
sake,2
£4,2
give,2
heard,2
edinburgh,6
lot,2
choice,2
order,4
ll,3
avocado,2
wouldn,3
good,5
food,5
half,2
didn,2
filling,2
found,3
meal,5
watery,2
house,2
fish,2
ambiance,2
place,4
delicious,6
wasn,2
quality,2
service,2
part,2
miso soup,5
eaten,2
don,2
fact,2
menu,5
sashimi salad,2
rice,2
bad,2
set,2
decided,3
1 sushi bar,2
restaurant,2
table,2
suppose,2
ve,5
dumplings,2
sushi,7
make,3
week,2
tuna,2
thought,3
things,2
thumbs,2
portion sizes,2
disappointed,2
people,2
back,3
side,2
rolls,2
recommend,3
made,5
ordered,3
tasty,5
sushi place,2
5 pieces,2
time,3
fresh,2
