name,count
focus,2
desserts,2
veg,6
friendly,3
garden,2
soy milk,2
teas,2
small,3
enjoy,4
tea,3
past,2
cheeses,2
opted,3
cooking,4
chickpeas,2
full,3
pasta,2
met,2
great,3
healthy,5
vegetarian,2
experience,2
makes,3
fantastic,3
love,8
market,5
wanted,2
visit,2
today,3
room,2
salad,5
local,3
work,2
worth,3
reviews,2
heart,2
foodie,3
heard,2
feta,2
yum,4
establishment,2
stock,2
freezing,2
produce,3
coming,2
times,2
natural,3
sit,2
years,2
order,3
previous review,2
top,2
cold,2
organic food,2
perfect,2
amazing,3
coffee,5
good,9
food,17
lunch,5
day,3
didn,3
found,2
meal,4
upstairs,3
hard,2
idea,2
expect,2
salads,4
space,3
parking lot,2
houses,2
reason,2
put,4
owners,2
organic,8
couldn,2
fruit,3
place,11
newington,2
number,2
delicious,4
buy lots,2
quality,2
size,2
city,2
service,5
earthy,11
wonderful,2
friend,3
eyes,2
option,2
haven,5
kind,2
board,2
coats,2
bacon roll,2
mind,2
sad,3
close,2
breakfast,2
apparently,2
sat,2
sandwiches,2
closer,2
price,2
paid,2
plenty,2
don,5
earthy food market,4
quiches,2
clear,2
sale,4
fact,3
shop,8
selection,4
fine,2
find,2
staff,9
organic produce,3
menu,2
stars,3
portions,2
good quality,2
parking,2
give,2
lots,5
review,3
sorts,3
food market,2
premises,2
customer service,2
plants,2
asked,2
great selection,2
walk,2
expensive,3
taste,2
pricey,3
prices,4
leaves,2
ve,8
pay,3
make,6
main road,2
left,3
parents,2
easy,2
gave,2
customers,2
big,2
bit,6
disappointed,2
meat,4
side salad,2
cool,2
served,2
seating,3
people,2
back,6
pickles,2
slice,2
cafe downstairs,2
good selection,2
porridge,2
goods,2
causewayside,2
side,2
range,2
slightly,2
foodie heaven,4
vegetables,2
long,3
lot,5
buy,2
offer,4
downstairs,3
true,2
eat,5
made,4
flavour,2
cake,2
care,2
sort,3
ordered,2
year,2
tasty,4
daily,2
home,4
shopping,2
cafe,11
good thing,2
ingredients,3
tesco,2
£10,2
4*,2
roll,2
nice,5
time,7
fresh,4
