name,count
mackerel,2
catch,3
venue,2
haggis,2
enjoy,3
great idea,2
told,2
met,2
items,2
changed,2
fantastic,3
music,2
recommend,2
type,3
glass,6
warm,2
excellent,3
£1,8
room,3
work,2
give,2
end,2
revisit,2
wrong,3
types,2
chilled,2
things,3
order,4
wine,8
absolutely delicious,2
indulge,2
meat,2
side,3
wanted,5
loud,2
bite,5
delicious,6
service,6
top,2
girls,2
needed,3
matter,2
mind,4
mine,2
don,4
place,14
enjoyed,3
busy,3
menu,10
loved,3
bar,10
bad,2
lots,3
beer,3
expected,2
lovely,4
left,3
note,2
5 stars,2
night,7
people,5
dinner,6
afternoon,2
stop,2
nice touch,2
offer,2
portions,4
inside,3
vacate,2
felt,2
time,11
haloumi,2
concept,2
finally,2
choice,2
bring,2
quick,5
cosy,4
drinks,11
shared,2
staff,8
filled,2
wait,4
love,5
visit,9
attentive service,2
great place,4
bites,4
awesome,2
sunday,2
edinburgh,5
cocktail,4
spot,2
candles,5
tapas,3
years,2
ended,2
appetizers,3
main,5
tonic,2
tucked,2
food menu,2
return visit,2
lunch,2
didn,5
showcasing,2
catching,2
chose,2
couldn,4
waiter,2
yum,3
small bites,2
friend,4
future,2
pre,2
tastes,3
review,2
mains,2
cheap,3
corner,2
bon vivant,14
cocktails,13
3,3
chorizo,3
olives,2
attentive,2
evening,2
el cartel,2
bottle,3
extensive drinks menu,2
money,2
starving,2
dark,4
served,2
divine,2
stand,2
road,2
stars,2
deep,2
tasty,9
fill,3
bar tender,2
dish,3
smile,3
fat,2
fab,2
small,3
beautifully presented,2
learned,2
full,3
hours,3
strong,4
basically,2
glad,2
town,3
share,4
breaded brie,3
advice,2
coming,3
late,2
pesto,2
good,11
food,14
easily,2
found,3
fish,3
oil,2
put,2
feel,7
thistle street,3
kind,3
find,4
starters,2
nibbles,4
chocolate mousse,2
bars,2
champagne,3
restaurant,3
whitebait,2
drunk,2
expensive,2
intrusive,2
prices,2
extensive,2
decor,2
arrived,2
spend,2
tables,2
recommended,4
big,4
couple,3
bit,3
back,11
good selection,2
restaurant area,2
impressed,2
fried,3
called,2
ordered,9
nice,8
favourite,3
smiley,2
walked,3
fresh,2
desserts,2
tasty starters,2
friendly,6
dessert,5
black pudding,2
wonderful meal,2
great,11
makes,3
duck,3
sort,2
popped,2
meet,2
point,2
champagnes,4
sip,3
sit,2
bunch,2
perfect,4
ll,3
day,3
wines,4
times,2
waitress,3
ordering,2
lot,4
comfortable,2
pork belly,4
dishes,2
mid,3
fact,2
atmosphere,7
purely,2
eyes,2
perfect place,2
hope,2
means,2
made,3
packed,2
super friendly,2
superb,2
comment,2
table,9
taste,6
finished,2
ve,8
drink,7
variety,2
thought,4
headed,2
helpful,2
sizes,4
boards,2
rushed,2
eat,5
places,6
problem,2
stay,2
friends,8
