name,count
managed,3
burritos,4
choice,2
jack,5
venue,2
small,2
music,2
today,2
work,2
give,2
end,2
thing,3
edinburgh,2
tacos,2
ll,3
good,4
food,4
day,3
didn,3
filling,2
found,2
side,2
place,2
isn,2
cheese,2
long,2
bite,2
illegal jack,3
sat,2
lie,2
pretty,3
atmosphere,2
pleased,2
staff,2
won,2
feels,3
guardians,2
table,3
lovely,2
location,2
prices,2
sit,2
ve,2
things,3
burrito,5
carnitas,2
couple,3
back,6
warmer,2
lothian road,4
impressed,2
los cardos,2
eat,2
places,2
agree,2
doesn,3
tasty,2
time,3
beers,2
