name,count
managed,2
felt,2
catch,2
attentive,2
worth,3
southern cross cafe,2
royal mile,6
haggis,4
quick,2
full scottish breakfast,4
bacon,2
situated,3
opted,3
waiting,3
told,2
busy,4
great,5
coffee shop,2
settled,2
options,2
fantastic,2
eye,2
call,3
recommend,3
ve heard,2
sort,2
popped,3
great location,2
excellent,2
glad,2
great place,4
friendly,5
soup,2
end,2
sit,3
place,10
edinburgh,10
sandwich,2
nice atmosphere,2
wrong,3
fi,3
order,4
cute,2
ended,3
cold,2
ll,3
amazing,4
good place,2
wouldn,2
coffee,12
good,8
lunch,6
disappoint,2
day,7
stopped,2
friendly staff,3
expect,2
indulged,2
quality,2
hot drink,2
put,2
wanted,3
vegetarian haggis,2
ate,2
times,3
thing,3
expecting,3
top,2
delicious,5
wasn,2
service,8
ordered,3
friend,7
sweet,3
quirky,2
kind,4
breakfast,10
scotland,2
sandwiches,2
price,3
plenty,2
don,5
atmosphere,3
fine,3
staff,9
menu,4
jam,2
bad,2
decided,2
great food,2
lots,2
pancakes,2
restaurant,3
free wi,3
table,2
expected,2
blueberry stackers,2
priced,2
prices,3
bill,2
ve,3
decor,2
things,2
make,3
food,10
cream,2
caramelized,2
love,3
cup,3
couple,2
world,2
bit,4
seating,2
didn,5
back,9
southern cross,3
average food,2
free wifi,4
lovely,4
croque madame,2
lot,2
happy,2
eat,2
hot chocolate,4
made,3
inside,4
lemon tart,2
cockburn street,4
tasty,5
cafe,6
£10,2
coffees,2
nice,3
favourite,2
stay,2
variable,2
cooked,2
train,3
time,4
alright,3
