name,count
laura,2
friendly,2
dessert,3
fat,2
small,3
full,2
yelpers,2
wait,2
dry,2
experience,4
atelier,6
fantastic,3
pork fillet,2
starter,6
room,2
high,2
struggling,2
1,2
edinburgh,2
pay,2
serving,3
feedback,2
mentioned,2
cold,2
expectations,2
main,8
good,6
food,8
lunch,3
half,2
day,3
meat,2
risotto,2
didn,2
courses,2
lunch menu,4
meal,4
fish,2
expect,3
open,2
place,6
restaurants,3
feel,2
delicious,4
quality,5
service,2
stars,2
bed,2
visited,2
pork belly,2
price,2
don,3
mains,3
bring,2
staff,2
busy,2
based,2
menu,3
starters,2
8,2
made,2
chips,2
steak,2
enjoyed,5
kitchen,2
restaurant,4
waiting staff,2
ll,4
table,2
lovely,3
good sign,2
prices,2
bill,2
ve,2
week,3
pork cheek,2
arrived,3
dish,2
bit,2
success,2
served,4
back,4
lentils,2
people,3
start,3
lot,3
forward,4
happy,3
portions,2
fine dining,2
tasty,4
home,2
£12,2
nice,2
cooked,2
portion,2
fact,2
time,5
