name,count
hate,2
worth,6
venue,3
enjoy,3
fingers,4
great idea,4
told,5
met,2
dry,4
fantastic,3
recommend,3
type,3
tortilla strips,3
hole,2
£2,6
£3,11
word,3
room,4
work,8
waiter,3
sat back,2
honey,2
buffalo wings,3
end,6
turn,2
makes,4
hot,8
wrong,3
types,4
chilled,2
enter,2
order,6
cheese,3
lemon pepper,2
hidden,4
meat,7
meal,3
nerf guns,2
bowls,8
saturday,2
mason,3
wanted,3
ate,2
created,2
ish,2
arrived,2
veggie,2
wash,2
delicious,9
wasn,5
service,10
top,4
needed,2
flame,5
feeling,2
paper bowl,5
suicide challenge,6
eyes,2
don,21
busy,3
menu,17
boyfriend,2
stop,4
15,2
bad,2
decided,4
lots,5
wings experience,3
chicken wing,2
glasgow,2
kitchen,2
suggested,2
big group,2
mariachi,5
games,2
asked,4
sit back,2
tasted,3
beer,12
basic,3
expected,2
lovely,4
life,2
weren,2
mates,3
hot sauce,2
friendly atmosphere,2
suggest,3
make,8
sat,2
hand,2
garlic,3
left,5
easy,4
5 stars,3
unique,3
50,14
night,3
people,14
bottom,2
months,2
ensure,3
america,2
blue cheese,3
quirky,3
happy,4
head,4
offer,5
heat,3
survive,2
true,2
wings edinburgh,3
portions,3
full,4
inside,2
trip,2
smell,3
picture,2
felt,2
weekend,2
longer,3
concept,3
milk,2
row,2
suicide,2
environment,2
finally,2
big fan,2
eat wings,2
choice,5
cook,4
minute,2
cooks,2
ollie,2
brother,2
gene parmesan,4
eating,2
drinks,7
adds,2
shared,3
filled,2
water,2
groups,2
wait,3
brilliant,2
love,9
relaxed atmosphere,2
give,6
visit,6
today,2
tiger sauce,3
chicken lovers,2
great place,2
pretend,2
confused,3
heard,5
sunday,2
edinburgh,19
date,3
guys,4
man,2
varieties,2
succeeded,2
basket,2
tanja,4
pointed,3
group,4
board games,2
amazing,7
tucked,2
lunch,3
didn,12
tortilla chips,3
intrigued,2
entering,2
year,2
canada,4
opened,4
space,3
big dill,2
vegetarians,2
care,4
couldn,3
thing,9
place,38
long,3
open,3
2,3
friend,4
future,2
pre,2
alley,2
sad,2
interior,4
irn bru,2
price,6
knew,4
wee alley,2
salt,2
shop,2
cheap,7
discovered,2
flavour,4
gem,2
disco wingferno,2
fries,3
review,3
3,6
arrival,2
notice,3
living room,2
pop,4
rubs,3
case,2
great service,3
love wings,2
victoria st,2
evening,2
doctor,3
bowl,16
check,4
bottle,2
dry rubs,2
styles,2
disappointed,2
served,7
tiger wings,2
maple bbq,3
nuggets,3
reasonable,2
dry rub,4
fringe,3
favorite,2
mixed,4
reservation,2
sides,4
low,3
lot,6
spicy,9
complete,2
spice,2
pull,2
huge fan,2
bucket,4
cool,4
ll find,2
taste,5
tasty,7
fill,2
5,2
bad day,2
time,16
starting,2
forget,2
follow,2
worse,2
list,3
small,4
casual,2
opted,3
friday,2
epitome,2
fishmarket close,3
experience,4
amount,4
options,6
6,6
door,2
basically,2
glad,3
town,4
share,2
overcooked,3
dream,2
sauce,18
wouldn,4
good,16
return,4
food,17
walls,4
bigger,2
easily,2
gamecube table,2
sundays,4
10 pounds,2
found,9
needless,3
hard,2
idea,4
friendly staff,2
expect,5
hill,2
quick,2
reason,6
imagine,2
put,3
feel,5
fancy,4
11 people,2
miss,3
leading,2
exploded,2
mmmm,2
part,3
kind,3
ages,2
juicy,2
yelp event,2
paper bowls,2
dancing,2
cave,2
caesar,2
finding,2
eaten,3
deep fried,2
clean,3
6 wings,10
weeping angel,2
fine,3
find,3
feels,3
basement,2
set,2
flavours,10
close,3
visiting,2
won,3
recently,3
missing,2
restaurant,6
point,2
simple,7
sweet,7
crispy,3
secret,2
priced,2
corner,4
prices,3
fun,9
funny,3
decor,2
person,2
tables,2
location,2
crying,2
lacking,2
couple,3
bit,7
wings,59
maple syrup,3
sauced,3
highly recommend,2
back,15
understood,2
server,3
sauces,19
delicious wings,2
good selection,2
run,3
rum,2
rub,2
seating,2
fast,2
sauces/dry rubs,2
super cool,2
uk,2
dill,3
ordered,6
doesn,4
single,2
home,2
nice,5
favourite,2
spicy wings,2
cooked,3
beers,6
buffalo,2
friendly,8
royal mile,7
noted,2
jump,2
n64,2
enjoyed,8
waiting,4
mardi gras madness,2
yelpers,3
great,18
suggests,2
win,2
manage,2
baskets,2
lime,2
fed,2
doubt,2
awesome,7
challenge,4
napkins,3
high,2
bones,7
sit,2
vibe,2
located,3
chicken wings,17
30 minutes,2
favourites,2
including,4
mentioned,2
bunch,2
perfect,2
4 stars,2
ll,9
choose,17
smoked emperor,2
covered,2
front,3
day,4
special,2
pretty good,6
york,3
keen,2
quality,2
stars,2
haven,3
loved,8
mix,2
face,2
looked,3
yum,2
fact,4
playing video games,2
atmosphere,4
selection,2
bring,4
planning,3
chicken,6
pleased,3
staff,14
hope,3
handle,2
watching,2
lucky,2
joint,2
perfection,2
chips,10
super friendly,6
buckets,3
big tables,3
comment,2
wall,8
walk,5
table,14
quiz,2
bbq,4
12 wings,3
choices,2
ve,19
helped,2
delicious chicken wings,2
oink,2
drink,3
thought,6
add,2
teriyaki,2
match,4
helpful,4
lost,2
chairs,2
isn,7
friday night,3
sister,2
*,3
los cardos,2
eat,10
count,2
made,4
places,5
wife,4
problem,3
love chicken wings,3
minutes,2
variety,3
book,2
wing,7
star,2
chance,2
friends,7
blue door,2
yelp,5
6 chicken wings,2
portion,4
