name,count
good food,3
attentive,2
friendly,4
bar area,2
presented,3
burger,4
drinks,6
fine,2
stockbridge,2
yelpers,3
change,3
rushing back,2
dry,2
prior,2
standing,2
visit,3
effort,2
town,6
reviews,2
tap,3
awesome,2
huge,2
end,2
amazing,2
place,12
pint,2
edinburgh,3
cocktail,2
lighting,2
coming,2
waited,2
drinking,2
good,6
food menu,2
hamilton,2
front,2
impressive,2
didn,6
found,4
leave,2
space,4
beer garden,4
pub,3
imagine,2
times,3
expecting,2
isn,3
waitress,2
date,2
wasn,3
size,2
service,6
passed,2
ordered,4
part,2
haven,2
pre,3
mind,2
mine,2
great place,2
mix,2
price,2
don,2
order,3
looked,3
nice place,2
table service,2
enjoyed,5
staff,6
busy,4
based,3
menu,3
pretty,3
hope,2
chips,3
bar,5
cocktails,4
group,3
table,4
website,2
turned,2
paying,2
pleasantly surprised,2
ve,4
decor,8
food,8
oil,2
drink,6
thought,3
burgers,3
treacle,3
wall,2
couple,2
bit,5
walk,2
disappointed,2
favourite part,2
night,2
served,5
back,8
business,2
months,2
cocktail menu,3
cosy,3
impressed,3
area,2
people,2
long,2
happy,3
great,2
barman,2
eat,4
places,4
inside,2
blackbird,11
taste,3
lovely,3
girlfriend,2
5,2
nice,3
friends,3
walked,2
cooked,4
time,6
fresh,2
