name,count
worth,2
cool,3
drinks,3
groups,2
dry,2
great,2
sort,2
arrive,2
share,2
remember,3
pay,2
halloumi burger,2
bunch,2
colleague,2
good,7
food,14
meat,2
ales,2
found,2
upstairs,4
special,2
quality,2
couldn,2
mac,2
times,3
place,5
massive,2
cheese,2
wasn,5
open,3
service,3
serve,2
mind,2
don,4
accommodating,2
atmosphere,2
find,3
staff,6
bar,2
steak,2
enjoyed,2
give,2
lots,2
3,2
ox184,6
prices,3
attentive,2
ve,2
things,2
make,3
cowgate,3
drink,3
big,2
bit,6
wings,2
people,2
back,3
good selection,2
ribs,2
slightly,2
long,2
happy,2
offer,2
eat,4
fries,4
nice,4
sides,2
cooked,2
time,7
