name,count
worth,3
presented,2
quick,2
pork,2
drinks,4
opted,2
enjoyed,2
great,3
experience,2
eye,2
visit,2
excellent,2
starter,2
shame,2
friendly,3
reviews,2
range,2
1,2
edinburgh,2
order,2
wine,2
écor,2
group,2
main,2
wouldn,2
good,7
day,2
meal,2
entering,2
times,2
thing,2
place,8
isn,2
dine,2
feel,2
delicious,3
wasn,2
miss,3
city,2
service,4
2,2
kind,3
mind,2
dinner,3
dishes,2
dining,2
price,2
don,3
fact,4
staff,4
menu,4
hit,4
chips,2
bar,2
ended,2
club sandwich,2
prosecco,2
3,2
won,2
living room,8
restaurant,3
walk,2
table,3
expensive,2
50%,2
ve,6
evening,2
food,11
week,2
left,2
money,2
extensive,2
helpful,2
night,3
people,2
back,4
recommendation,2
drink,2
side,3
noticed,2
lot,2
line,2
george street,2
places,2
friends,4
time,4
