name,count
worth,2
friendly,2
dessert,4
presented,2
beautiful views,2
noted,2
perfect,2
drinks,2
enjoyed,2
afternoon tea,2
great,5
perfectly cooked,2
experience,5
love,2
aimed,2
witchery,4
visit,2
recommend,2
entrance,2
started,2
beautiful,2
awesome,3
end,4
located,2
amazing,3
place,11
wine,4
group,2
interesting,2
window,3
wouldn,4
good,9
views,3
food,18
lunch,2
day,2
didn,3
found,3
meal,5
edinburgh,13
fish,2
expect,4
special,3
put,2
wanted,2
steak,2
waiter,4
thing,2
castle,9
feel,4
delicious,4
wasn,3
city,2
£35,2
service,3
tower restaurant,2
top,4
time,3
part,4
10,2
kind,2
dishes,2
scotland,5
price,4
don,4
cooked perfectly,2
national museum,4
chicken,2
find,4
staff,6
busy,2
menu,5
starters,2
restaurants,3
fair,2
fantastic views,2
arrival,2
attention,2
restaurant,6
fault,2
table,3
tiny,2
expected,3
4,2
pricey,2
attentive,6
ve,2
evening,2
make,2
impeccable,2
floor,2
money,2
tables,3
excited,2
world,2
edinburgh castle,2
night,5
served,2
tower,11
back,6
great view,4
wine list,2
good selection,2
eating,2
view,7
dinner,3
museum,5
head,2
eat,2
made,3
flavour,2
ordered,2
tasty,2
mediocre,2
check,2
book,2
nice,3
top floor,2
cooked,2
