name,count
worth,2
presented,2
indian,4
full,2
great,2
nepalese,3
great place,2
arrive,2
mango lassi,2
confused,2
times,2
range,2
amazing,2
edinburgh,6
nepalese place,2
ended,2
main,2
good,5
food,8
meat,2
didn,2
found,3
meal,2
wonderful experience,2
wanted,2
ate,2
place,3
delicious,2
wasn,2
quality,2
service,4
ordering,2
dishes,2
price,2
don,2
fact,3
selection,2
find,3
slow,2
menu,2
namaste kathmandu,4
flavours,2
decided,3
restaurant,2
ve,4
drink,2
bit,2
disappointed,2
dinner,3
namaste,4
lot,2
eat,4
made,2
friends,2
time,5
