name,count
tasty dips,2
dessert,4
small,2
main courses,2
enjoy,2
bacon,2
cosy,3
told,2
options,2
love,2
eye,2
visit,3
recommend,3
sort,2
sharing,2
excellent,4
salad,2
mint chocolate cake,2
give,2
share,2
sit,3
sunday,2
egg,2
order,2
wine,2
prosecco,2
pesto,4
main,6
coffee,2
evening,4
food,7
lunch,2
bread,5
leave,2
scrambled eggs,2
wanted,2
place,8
cheese,3
feel,2
number,2
delicious,3
service,2
start,2
kind,3
ages,2
breakfast,3
dishes,2
potential,2
roamin,5
centre,2
price,3
salmon,2
cleared,2
don,5
staff,4
menu,3
plate,2
chips,2
nicely,2
chocolate mousse,2
bad,2
decided,2
3,3
arrival,2
cake,2
kitchen,2
simple,2
italian theme,2
table,3
expected,2
lovely,4
location,2
prices,2
full,2
ve,4
disappointing,2
good,4
decor,2
bottles,2
french toast,2
waitresses,2
thought,2
bottle,2
pasta dishes,2
4,3
couple,2
nose,5
night,2
back,4
slice,2
home,2
sharing platters,2
pasta,2
afternoon,2
relaxed,2
ended,2
eat,3
made,5
places,2
ordered,6
taste,2
doesn,2
tasty,3
5,3
nice,3
friends,3
cooked,2
time,2
breakfast menu,2
