name,count
managed,3
mild,3
dish,4
attentive,4
yummy,2
worth,4
bhuteko khasi,2
find,6
indian,2
garlic naan,2
tandoori chicken,3
full,3
great,8
delicious food,2
portions,2
spices,3
love,2
app,2
nepalese,3
chicken tikka,2
papadums,2
started,2
excellent,3
glad,2
great place,3
hour,2
friendly,2
making,2
give,2
mango lassi,3
india,2
lamb,5
hot,3
edinburgh,16
honestly,2
indian restaurants,2
perfect,2
group,2
ll,5
amazing,4
main,2
sauce,3
absolutely delicious,2
good,9
combination,2
food,17
safe,2
day,4
moist,2
didn,4
accompanied,2
meal,8
expect,4
nepal,3
starter,2
imagine,2
chilli,2
ate,2
waiter,2
korma,2
place,7
number,2
delicious,8
wasn,2
quality,2
service,7
ordering,3
wonderful,2
friend,2
ceiling,2
salad,2
serve,2
gurkha cafe,3
happy,3
mind,2
comfortable,2
spicy,2
orders,2
dishes,6
scotland,2
recommended,3
defiantly,2
interior,2
eaten,3
don,4
hungry,2
looked,2
quantity,2
terrific,2
cheap,2
chicken,3
enjoyed,3
staff,8
menu,3
starters,2
rice,6
made,6
perfection,2
shared,2
whilst,2
stuff,2
restaurants,2
set,2
flavours,3
decided,2
served,2
won,2
restaurant,7
asked,5
portion sizes,2
table,4
curries,2
beer,2
4,2
life,2
turned,4
ve,9
dumplings,2
decor,3
make,6
check,2
finish,2
entrees,2
thought,2
steamed,2
money,2
rest,2
speed,2
generous,3
mix,4
recommend,3
big,2
couple,2
world,2
bit,3
disappointed,4
chicken korma,3
night,2
people,3
naan,7
highly recommend,2
back,6
divine,2
flavors,2
found,2
dinner,4
curry,3
long,3
meals,4
start,3
lot,5
naturally,2
buy,2
eat,4
ordered,8
tasty,2
work,2
trip,2
compared,2
nan,2
nice,4
reservation,3
yelp,3
time,7
fresh,3
