name,count
dish,3
attentive,3
friendly,2
nasi lemak,2
rendang,2
enjoy,3
chicken,3
drinks,2
order,2
love,2
put,2
started,2
edinburgh,5
make,2
wouldn,2
good,5
food,6
found,3
wanted,2
care,2
place,6
delicious,2
quality,2
friend,3
dishes,2
price,2
don,2
mains,2
pleased,2
staff,6
malaysian food,3
menu,6
pretty,2
malaysian,2
bad,3
quarter mile,3
opening,2
improve,2
restaurant,2
lovely,3
website,2
lived,2
prices,4
thought,2
back,2
good impression,2
eating,2
beef,2
happy,2
spicy,3
delivery,2
doesn,2
chat,2
check,2
nanyang,5
students,2
time,4
