name,count
good food,2
yummy,2
baristas,2
friendly staff,2
enjoy,2
told,2
sort,2
great place,4
friendly,3
edinburgh,4
wrong,2
fi,3
perfect,2
offers,2
coffee,8
good,2
food,4
lunch,2
starbucks,3
filling,2
guess,2
thing,2
place,10
quality,2
modern,2
staff,5
ratio,2
bad,3
grab,2
cakes,4
free wi,3
pop,2
ve,2
nicholson street,2
day,2
student,2
costa,2
laptop,2
cup,2
sandwiches,2
customers,2
big,2
bit,2
grind house,9
plug,2
free wifi,3
made,2
places,3
tasty,2
cafe,2
5,2
nice,2
students,2
fresh,2
