name,count
worth,4
clientele,3
venue,8
street,3
lights,2
told,4
call,3
glass,2
room,7
work,4
vodka,3
give,2
end,4
place,18
order,5
écor,2
harmonica,3
band,2
meal,3
luck,2
club scene,2
wanted,5
musicians,3
moving,2
loud,2
wasn,3
service,2
ceiling,2
seated,2
mine,2
casual,2
don,8
enjoyed,2
busy,3
menu,7
bar,20
full,2
lots,4
sorts,2
glasgow,2
fault,2
chandeliers,2
people moving,2
asked,2
customers,2
shame,2
things,2
make,8
opulent,3
hand,2
opportunity,2
sporting,2
yep,2
ease,2
performing,2
steps,2
night,10
live music,2
people,13
accommodate,2
crowd,3
gig,2
music,3
head,3
offer,3
pub food,2
hear,2
voodoo rooms,24
check,4
felt,4
time,8
gigs,2
charge,2
choice,3
advised,2
word,2
cool,5
impressive,3
presented,2
specials,2
drinks,17
change,3
love,3
visit,5
making,2
awesome,2
chic,2
means,2
edinburgh,6
ballroom,4
spot,2
guys,2
man,5
remember,2
talk,2
prosecco,2
group,3
areas,2
good place,3
tucked,4
half,2
didn,5
rock,3
year,4
opened,2
shows,3
thing,6
array,2
city,3
friend,2
pre,2
interior,2
voodoo,3
show,3
speakeasy,4
corner,2
black,2
jazz,2
cocktails,14
review,2
3,2
guitar,3
6,2
maintained,2
sound,3
evening,2
events,6
week,2
keyboard player,2
bottle,2
rest,2
dark,2
audience,3
table,4
luxurious,2
fringe,2
mixer,2
side,3
area,2
start,5
stars,2
ehh,2
taste,3
tasty,2
thursday night,2
stumbled,2
ornately decorated,2
song,2
small,3
situated,2
plush,2
experience,5
amount,2
ve,9
good range,2
mysterious,2
door,2
company,3
stick,2
town,3
middle,4
coming,2
strutting,2
wouldn,2
good,11
return,4
food,10
walls,2
stopped,2
expect,3
blues,3
event,2
bass,2
put,3
feel,6
number,5
fancy,2
stairs,3
kind,2
edinburgh blues club,3
drums,2
scotland,2
majority,2
play,4
hired,3
booze,2
melody,2
find,5
pretty,2
seats,3
spirits,4
won,3
restaurant,4
point,2
expensive,2
create,2
bar staff,2
funk,2
decor,6
moment,2
early,2
edge,2
spend,2
tables,5
location,2
big,2
couple,3
bit,9
bars,2
range,2
long,3
relaxed,3
ordered,2
nice,3
meaning,2
age,2
walked,2
enjoyable,2
young,2
ambience,3
friendly,3
years ago,2
soul,3
booth,3
main bar,5
explore,2
sexy,3
great,4
makes,3
standing,2
sort,3
started,2
charity,2
great vibe,3
dj,3
vibe,3
dolled,2
light,2
classy,3
favourites,2
bartenders,2
ll,3
day,2
accompanied,3
cocktail,2
times,3
scene,2
set,3
quality,3
back,8
lot,5
haven,7
loved,3
visited,2
mix,2
looked,3
fact,4
impression,2
atmosphere,5
great night,2
staff,5
ebc,3
minutes,2
decent,2
main,2
welcoming,2
harder,2
vr,2
vintage,2
drink,2
rooms,4
success,2
works,2
home,2
literally,2
stage,5
cocktail menu,3
*,2
noticed,2
pretty small,2
made,3
record,2
star,3
friends,2
yelp,2
