name,count
desserts,3
dish,2
friendly,5
dessert,2
haggis,5
loads,2
round,3
run,2
shared,3
staff,3
full,2
wasn,2
mozzarella,2
great,3
menu,6
makes,2
options,2
love,4
aidan,2
advance,2
owners,2
glass,2
basically,2
excellent,2
booking,6
heart,2
give,3
share,2
honey,2
times,3
south american,2
end,2
rhubarb,2
small plates,2
owner,2
courgette,2
tomato,2
remember,2
tapas,13
mango,2
order,3
wine,3
cold,3
ll,3
evening,3
return,2
food,8
bread,3
meat,2
didn,5
found,2
edinburgh,7
almond cake,2
fish,2
hard,2
idea,2
expect,2
fusion,2
pine nuts,4
chilli,2
visit,3
fallen tower,2
spanish restaurant,2
place,8
veggie,2
delicious,6
spanish,5
bland,2
array,2
size,2
service,6
spinach,3
passed,2
tapas place,2
forward,3
potatoes,2
matter,2
half,2
mind,4
dishes,7
drinks,2
bottle,2
don,3
reputation,2
fact,2
show,2
patatas bravas,4
corner,3
nice,2
winner,2
3,2
meant,2
plate,3
means,2
perfection,2
reading,2
flavours,2
tollcross,2
bought,2
restaurant,7
offerings,2
table,9
lovely,3
priced,2
finished,3
spain,2
case,2
bill,3
order 2,2
indaba,8
ve,7
good,5
make,3
amount,2
plates,3
daily specials,2
garlic,3
incredible,3
fantastic,3
mix,2
aubergine,2
bit,3
monday night,2
night,4
works,2
people,5
back,3
crying cake,3
felt,2
host,2
ginger sorbet,2
pork ribs,3
plenty,2
delighted,2
range,2
aren,2
lot,3
offer,2
recommend,2
sea bass,3
eat,3
made,3
olives,2
called,2
trio,5
palate,2
ordered,5
tasty,3
south african,5
goat cheese,2
chorizo,2
favourite,2
cooked,2
time,6
