name,count
good food,2
desserts,3
thoughtful,3
lord,3
friendly,6
entire,3
loads,2
thin,2
tea,2
deceptively large,2
odd,3
drinks,2
makes eye contact,3
told,2
chose,2
wait,6
great,3
perfectly cooked,2
pick,2
love,8
garlic beans,3
"yelp review 

cafe marlayne

spectacular",2
eye,2
&,2
comfy sofas,2
creamy,2
warm,2
95,2
starter,2
dairy milk cappuccino,3
give,2
huge,2
menus,2
amazing,2
dessert,4
edinburgh miss,3
edinburgh,5
haven,2
spot,3
times,3
stress,3
ve ordered,3
light,5
order,3
cute,4
ended,2
perfect,2
ll,5
main,3
wouldn,2
coffee,5
good,11
service lovely,3
food,15
lunch,6
walls,2
front,4
day,4
bread,3
didn,4
courses,3
panini,2
sticky toffee pudding,2
teas,2
music choice,3
meal,4
list,3
wasn,3
idea,4
leave,2
drives,3
reasonable price,2
angus,3
checked,4
wanted,3
enormous,2
waiter,3
place,14
cafes,3
waitress,3
feel,2
delicious,6
quality,2
service,8
lot,5
serve,2
part,2
loved,3
visited,2
sublime,3
lemon cake,3
rnough great things,2
breakfast,2
genuine,3
mix,2
cleared,3
don,6
won,2
fact,2
hake,2
simple thing,3
pleases,3
mains,2
cheap,2
drink half,3
enjoyed,5
staff,8
slow,2
menu,9
photo,3
meant,3
bacon,2
steak,2
decided,3
terrine,2
lots,4
soooo delish,3
omg,2
tables,2
swift,3
restaurant,4
space,2
cakes,3
beautiful seating,3
table,7
scrambled eggs,2
drank,3
lovely,5
spacious,2
tidy,3
priced,4
brunch,2
cafe marlayne,7
sit,3
bill,2
neat,3
ve,4
sincere,3
plates,2
arrived,2
broccoli,4
butter,2
clears,3
waitering,3
left,5
excellent skill,3
big,2
bit,3
served,2
bonkers,3
back,12
divine,3
stopped,2
beautifully seasoned,2
creative interesting,3
dinner,4
ensure,2
free wifi,4
courgette carrot cake,3
people,2
croque madame,2
start,2
happy,2
head,2
offer,2
volume,3
eat,2
made,4
portions,3
places,3
fries,3
cake,4
ordered,4
taste,2
tasty,2
check,2
good thing,2
variety,2
"milk alternatives
gluten free brownies",3
book,2
/ almond shavings,3
nice,4
pooh,2
meals,2
time,8
