name,count
good food,2
impression,2
friendly,6
sitting,3
leave,3
loads,2
cost,2
sausage,2
decent chip shop,2
vinegar,2
great,6
makes,2
options,2
visit,3
recommend,3
£8,2
basically,2
worth,3
sit,6
place,13
pizza,2
edinburgh,5
wrong,2
perfect,3
20,2
ll,5
late,2
window,3
good,11
food,17
lunch,2
day,7
meat,2
potatoes,2
didn,2
found,2
side,2
upstairs,2
fish,8
expect,2
open,2
health,2
issue,2
pleasant,2
put,4
greasy,2
ate,2
times,6
thing,4
yum,2
view,3
cheese,5
feel,3
fancy,3
fast,2
quality,4
city,3
service,4
option,2
serve,2
loved,2
kind,4
matter,2
tastes,2
breakfast,5
theatre,2
price,3
charm,2
day breakfasts,2
don,6
looked,2
clean,5
fact,2
cheap,2
bring,2
bright,2
diner,4
find,3
staff,7
toast,2
busy,3
menu,6
city restaurant,13
chips,19
morning,3
steak,2
seat,2
decided,2
result,2
tend,2
won,3
restaurant,6
pasta dishes,2
good meal,2
variety,2
table,2
expensive,3
life,2
pleasantly surprised,3
ve,5
middle,2
evening,3
make,2
finish,3
rain,2
moment,2
kid,2
omelette,2
burgers,2
hall,2
bit,6
disappointed,2
night,3
served,2
people,3
back,3
home,2
vast majority,2
great deal,2
pasta,2
meal,2
dinner,3
beans,2
plenty,3
chippie,2
hundred times,2
aren,4
happy,2
offer,2
eat,4
made,3
portions,3
places,2
sort,3
ordered,2
doesn,2
tasty,2
usual fish,2
nice,6
peas,2
meals,2
chippy,3
people watching,3
time,5
