name,count
milk,2
flat white,4
sitting,2
brownie,2
round,3
slow,2
tea,3
told,2
great,3
coffee shop,3
experience,2
love,3
sunday,2
call,2
warm,2
£2,2
town,2
work,2
friendly,2
reviews,2
soup,3
meet,4
sit,4
edinburgh,2
counter,2
order,2
move,2
london,2
ll,2
amazing,2
choose,2
coffee,15
good,10
food,3
bread,2
didn,4
found,2
good coffee,3
unfriendly,2
wanted,2
couldn,2
days,2
times,4
place,9
long,3
delicious,3
service,8
haven,2
mine,2
breakfast,4
sat,2
scone,4
mix,2
interior,4
project coffee,9
serve,2
don,5
nice place,2
shop,2
fine,3
staff,3
busy,3
jam,2
cappuccino,3
good flat white,2
bruntsfield,7
coffee shops,3
fault,2
passing,2
asked,2
cakes,3
artisan roast,3
lunch options,2
table,3
expensive,2
quickly,2
lived,2
priced,2
brunch,2
weren,2
ve,4
bacon rolls,2
eggs benedict,2
make,6
admit,2
week,3
strength,2
butter,2
tables,2
day,7
sweet,2
sandwiches,2
read,3
bit,4
disappointed,2
warned,2
back,5
home,3
scones,2
happy,2
eat,2
made,2
places,5
cake,4
ordered,5
doesn,2
5,3
nice,4
wifi,2
walked,2
people watching,2
time,4
