name,count
worth,2
dessert,3
heavenly,2
quick,3
enjoy,2
great,4
italians,2
pretty,2
excellent,2
£7,2
town,3
work,2
friendly,6
calton hill,3
prompt,2
times,3
huge,2
end,3
sit,2
pizza,3
edinburgh,4
martone,7
ended,3
apex,2
ll,2
coffee,4
good,6
lunch,2
food,8
half,2
didn,2
meal,2
ice cream,3
place,6
service,8
top,2
needed,2
hotel,3
don,2
looked,2
staff,4
watch,2
husband,2
flavours,2
decided,2
close,2
weak,2
restaurant,2
gave,2
ve,4
middle,2
make,2
handy,2
bit,2
served,4
italian,2
back,7
ice,2
serviceable,2
dinner,2
prices,2
happy,2
taste,3
cafe,2
pizzas,3
gelato,3
time,2
