name,count
ale,2
leith,7
dish,2
hate,2
show,2
busy,3
7,2
salad,2
haggis,6
burger,4
cosy,2
drinks,3
told,3
full,3
mussels,2
wait,2
pleasant,2
great,10
enjoyable meal,2
makes,2
fantastic,2
family,2
visit,5
doubt,2
ate,3
wark,7
excellent,2
room,3
beers,2
boy,2
work,2
friendly,2
reserved,2
give,3
share,2
end,2
sit,3
amazing,2
pint,3
edinburgh,5
kings wark,4
remember,2
coat,2
shore,4
move,2
years,4
cold,3
roaring fire,2
ll,4
dad,2
wouldn,3
good,9
food,10
lunch,2
half,2
day,2
risotto,2
didn,6
sticky toffee pudding,2
found,2
adventurous,2
fish,8
year,2
special,2
won,2
mains,4
pub,6
put,2
wanted,5
couldn,2
times,2
thing,2
place,9
husband,2
delicious,6
wasn,5
service,4
top,4
needed,3
seat,2
king,7
friend,2
light,2
ages,2
tables,3
locals,4
cream,2
paid,2
don,5
seafood,4
visiting,2
charged,2
fact,2
atmosphere,2
watch,2
seafood chowder,3
corner,2
good service,2
staff,2
hadn,3
menu,4
pretty,2
local,2
loved,3
freezing,2
kind,2
flavour,2
chips,8
bar,5
grab,3
fair,2
decided,6
chose,2
great food,2
apparently,2
3,2
neeps,2
called,2
forgotten,2
asked,3
sweet,3
table,5
fish cakes,2
beer,3
expected,2
lovely,2
life,2
offered,2
pulled pork,2
bill,3
ve,2
squid,2
pay,2
make,2
bowl,2
party,2
week,3
finish,2
drink,3
pubs,2
thought,5
cut,2
surprised,2
early,2
world,2
bit,6
night,3
popular,2
served,2
seating,3
highly recommend,2
back,8
10,2
delivered,2
eating,4
good size,2
meal,3
cracking,2
tatties,2
delighted,2
battered fish,2
fish & chips,2
happy,2
eat,6
places,2
inside,2
britain,2
tasty,2
door,2
compared,2
expect,2
good thing,2
book,2
star,2
favourite,2
building,2
yelp,2
wife,2
pricey,2
time,10
