name,count
town,2
choice,2
friendly,3
meet,2
huge,4
end,2
pizza,2
falafels,2
counter,2
order,2
ll,2
late,2
didn,4
expect,2
falafel wrap,2
george iv bridge,2
place,5
feel,2
delicious,3
owner,3
city,2
store,2
back,3
friend,2
gravy,2
don,4
fact,2
shop,2
chicken,2
fine,2
find,2
staff,2
wraps,3
busy,3
loved,2
means,2
chips,3
asked,2
table,2
make,2
hummous,2
mediterranean gate,6
bit,2
night,2
served,2
seating,2
people,3
falafel,5
home,2
fillings,2
dinner,2
wrap,6
deli counter,2
baba ganoush,2
fast,3
eat,2
ordered,2
taste,2
tasty,4
walked,2
time,2
