name,count
finally,3
friendly,5
small,3
voucher,2
cosy,4
stockbridge,2
wait,2
great,2
coeliacs,2
experience,2
give,2
visit,2
door,2
glass,2
3 courses,2
town,2
disappointing,2
salad,2
prompt,2
sense,2
lamb,2
amazing,2
order,2
wine,3
serving,2
board games,2
return,2
food,7
potatoes,3
mason,2
wines,2
organic,2
couldn,2
feel,2
delicious,3
wasn,3
service,2
friend,3
recommended,2
scotland,2
place,4
cute,2
mains,3
chicken,2
enjoyed,2
staff,3
menu,5
local,2
hope,2
bar,5
decided,2
bought,2
boar burger,2
ll,2
table,2
lovely,4
iglu,6
weren,3
ve,2
good,3
arrived,2
thought,2
itison voucher,2
add,2
bit,2
people,2
back,5
lentils,2
eating,3
dinner,5
long,2
start,2
offer,2
relaxed,2
ordered,2
customer,2
nice,3
weekend,2
booked,2
time,3
