name,count
drinking chocolate,2
selection,2
liam,2
chilli hot chocolate,2
flavourings,2
£2,2
friendly,4
choice,4
decide,3
fan,2
friendly staff,4
goodies,3
tea,2
displays,2
find,4
waiting,2
eating,2
full,2
change,2
wait,3
box,2
chocolate pasta,3
great,5
items,2
experience,2
leaving,2
fantastic,3
love,8
hotel chocolat,20
ve,4
chocolates,15
visit,5
wines,2
good chocolate,2
recommend,5
today,2
chocolate,25
town,2
worth,4
champagne truffles,4
give,2
awesome,2
share,2
sample,4
end,3
milk,3
amazing,5
edinburgh,5
latte,2
types,4
purchase,3
remember,2
savoury,2
favourites,2
ended,6
mentioned,2
perfect,2
ll,3
offers,2
nom,2
coffee,5
good,11
return,4
delighted,3
indulge,2
day,4
didn,6
reasonable,2
year,3
event,5
opened,2
free,3
chocolate heaven,3
wanted,2
chilli,5
ate,2
days,2
thing,4
place,11
isn,3
feel,6
savour,2
delicious,7
wasn,3
guys,3
store,6
chilli chocolate caramel hearts,2
selling,2
gingerbread hot chocolate,2
lot,2
part,2
white,2
loved,3
kind,3
treated,2
coconut,2
tasted,3
hotel chocolate,3
mind,2
sell,4
scotland,2
wanting,2
pair,2
found,2
don,10
treats,2
dream,2
lots,2
fact,2
shop,12
walking,2
cheap,2
bring,2
enjoyed,2
staff,17
knowledge,3
sugar,4
rich,2
boyfriend,2
stop,3
lucky,3
morning,2
stuff,6
packet,2
flavours,3
decided,2
wow,2
tend,2
3,2
won,2
limit,2
bought,7
packages,2
peach,2
sweet,4
pop,2
packaging,2
offered,2
expensive,3
mark,2
treat,2
lovely,2
life,2
shopping,2
prices,3
chili,3
attentive,2
yelp event,2
excited,4
healthy,2
deliciousness,2
chocolate shop,2
things,3
make,3
trip,2
week,3
drink,6
delight,2
cocoa butter,2
makes,2
walls,3
dark,2
half,2
coffee/chocolate,2
questions,2
seats,2
happiness,2
based,2
thinking,3
samples,5
5 stars,2
kick,2
gave,2
boxes,3
phenomenal,2
helpful,5
gift,4
sizes,2
shapes,2
night,7
people,2
back,18
home,3
chili chocolate,2
couldn,3
rum,3
cocoa,4
tiny,2
tasting,2
happy,3
buy,11
offer,8
high quality,2
eat,4
buying,6
hot chocolate,10
made,4
places,2
bag full,2
adore,2
uk,3
problem,2
taste,2
describe,2
cafe,8
divine,3
variety,3
nice,7
favourite,4
remarked,2
gifts,3
packets,2
time,4
